	AT	CC	CG	GD	JM	JR	JS	ML	NL	RK	SC	TP	YY
AT		0.6875	0.6666666666666666	0.75	0.9166666666666666	0.75	0.75	0.8333333333333334	0.875	0.8333333333333334	0.6875	0.75	0.875
CC	0.6666666666666666		0.75	0.875	0.8333333333333334	0.75	0.75	0.75	0.875	0.75	0.6875	0.75	0.875
CG	0.6666666666666666	0.6875		0.75	0.9166666666666666	0.75	0.75	0.75	0.875	0.75	0.6875	0.75	0.875
GD	0.6666666666666666	0.75	0.75		0.9166666666666666	0.75	0.75	0.75	0.875	0.6666666666666666	0.6875	0.75	0.8125
JM	0.75	0.75	0.75	0.75		0.75	0.75	0.75	0.875	0.75	0.6875	0.75	0.8125
JR	0.6666666666666666	0.75	0.8333333333333334	0.75	0.9166666666666666		0.8333333333333334	0.75	0.875	0.75	0.6875	0.75	0.875
JS	0.6666666666666666	0.75	0.75	0.75	0.8333333333333334	0.75		0.75	0.875	0.8333333333333334	0.6875	0.75	0.875
ML	0.75	0.75	0.8333333333333334	0.75	0.9166666666666666	0.75	0.75		0.875	0.75	0.6875	0.75	0.875
NL	0.6666666666666666	0.75	0.75	0.875	0.9166666666666666	0.75	0.75	0.75		0.75	0.6875	0.75	0.8125
RK	0.6666666666666666	0.75	0.8333333333333334	0.75	0.9166666666666666	0.75	0.75	0.75	0.875		0.6875	0.75	0.875
SC	0.6666666666666666	0.75	0.75	0.75	0.8333333333333334	0.75	0.6666666666666666	0.75	0.875	0.8333333333333334		0.75	0.875
TP	0.6666666666666666	0.75	0.8333333333333334	0.75	0.8333333333333334	0.75	0.75	0.75	0.875	0.8333333333333334	0.6875		0.875
YY	0.6666666666666666	0.6875	0.8333333333333334	0.75	0.9166666666666666	0.8333333333333334	0.75	0.75	0.875	0.75	0.6875	0.75	
