,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
1,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0
3,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
4,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5
5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
6,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,1.0,0.5
7,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0
8,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0
9,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0
10,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0
11,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
12,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0
13,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
14,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0
15,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
16,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,1.0
17,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
18,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0
19,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
20,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
22,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,1.0
23,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
24,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0
25,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
26,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.5
27,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5
28,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0
29,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0
30,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0
31,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
32,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0
33,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0
34,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0
35,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
36,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5
37,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0
38,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
39,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0
40,0.5,0.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0
42,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.5,0.5,1.0
44,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
45,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0
46,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
47,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
48,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5
50,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
51,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5
52,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0
53,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0
54,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
55,1.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
