,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5
1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0
3,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0
4,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0
5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0
6,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.5
7,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
8,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
9,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0
10,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5
11,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,0.5
12,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.0
13,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5
14,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0
15,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5
16,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.5,1.0
17,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5
18,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0
19,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5
20,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
21,1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5
23,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5
24,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.0
25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5
26,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5
27,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5
28,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0
29,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0
30,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0
31,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0
32,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0
33,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,1.0
34,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0
35,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5
36,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0
37,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0
38,0.5,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5
39,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
40,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0
41,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5
42,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
43,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0
44,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5
45,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5
46,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0
47,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
48,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.5,1.0
49,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5
Average,0.78,0.61,0.61,0.64,0.67,0.67,0.6,0.58,0.67,0.66,0.63,0.67,0.65
