,Subject,Block,Pre,Post
0,AC,0,0.5625,0.4583333333333333
1,AC,0,0.5625,0.5625
2,AC,0,0.4375,0.4583333333333333
3,AC,0,0.5,0.5208333333333334
4,AC,0,0.5,0.5625
5,AC,0,0.3125,0.5625
6,CD,0,0.375,0.3958333333333333
7,CD,0,0.5,0.4791666666666667
8,CD,0,0.5,0.4791666666666667
9,CD,0,0.4375,0.4166666666666667
10,CD,0,0.4375,0.4583333333333333
11,CD,0,0.5,0.5
12,CG,0,0.4375,0.6041666666666666
13,CG,0,0.4375,0.5
14,CG,0,0.375,0.3958333333333333
15,CG,0,0.4375,0.5625
16,CG,0,0.375,0.5208333333333334
17,CG,0,0.5,0.5833333333333334
18,DA,0,0.3125,0.3541666666666667
19,DA,0,0.5625,0.5416666666666666
20,DA,0,0.5,0.4166666666666667
21,DA,0,0.5,0.3541666666666667
22,DA,0,0.4375,0.5208333333333334
23,DA,0,0.5,0.5208333333333334
24,JN,0,0.5,0.5
25,JN,0,0.375,0.3541666666666667
26,JN,0,0.625,0.5
27,JN,0,0.5,0.5
28,JN,0,0.5625,0.5
29,JN,0,0.5,0.5833333333333334
30,JS,0,0.4375,0.5
31,JS,0,0.5,0.4583333333333333
32,JS,0,0.375,0.5416666666666666
33,JS,0,0.5,0.5
34,JS,0,0.5,0.5625
35,JS,0,0.5,0.5208333333333334
36,SK,0,0.375,0.4166666666666667
37,SK,0,0.375,0.5625
38,SK,0,0.4375,0.4791666666666667
39,SK,0,0.75,0.4583333333333333
40,SK,0,0.6875,0.4166666666666667
41,SK,0,0.625,0.4583333333333333
42,AC,1,0.375,0.5208333333333334
43,AC,1,0.625,0.5208333333333334
44,AC,1,0.5625,0.5625
45,AC,1,0.75,0.5625
46,AC,1,0.5,0.5416666666666666
47,AC,1,0.625,0.4791666666666667
48,CD,1,0.5,0.5625
49,CD,1,0.5625,0.5416666666666666
50,CD,1,0.4375,0.5416666666666666
51,CD,1,0.5,0.5
52,CD,1,0.4375,0.3958333333333333
53,CD,1,0.5,0.4791666666666667
54,CG,1,0.5625,0.375
55,CG,1,0.6875,0.625
56,CG,1,0.4375,0.4583333333333333
57,CG,1,0.5625,0.5833333333333334
58,CG,1,0.625,0.625
59,CG,1,0.4375,0.4583333333333333
60,DA,1,0.4375,0.5
61,DA,1,0.5625,0.5208333333333334
62,DA,1,0.5,0.5208333333333334
63,DA,1,0.4375,0.5208333333333334
64,DA,1,0.375,0.5208333333333334
65,DA,1,0.5625,0.4791666666666667
66,JN,1,0.5,0.6041666666666666
67,JN,1,0.5625,0.5833333333333334
68,JN,1,0.5625,0.5416666666666666
69,JN,1,0.5625,0.5833333333333334
70,JN,1,0.4375,0.5
71,JN,1,0.4375,0.5416666666666666
72,JS,1,0.4375,0.5
73,JS,1,0.5,0.4791666666666667
74,JS,1,0.625,0.4375
75,JS,1,0.625,0.4791666666666667
76,JS,1,0.4375,0.4375
77,JS,1,0.5625,0.5
78,SK,1,0.5,0.5416666666666666
79,SK,1,0.75,0.3541666666666667
80,SK,1,0.25,0.5
81,SK,1,0.5,0.4166666666666667
82,SK,1,0.5,0.3958333333333333
83,SK,1,0.3125,0.4583333333333333
84,AC,2,0.6875,0.5
85,AC,2,0.4375,0.5
86,AC,2,0.5625,0.5625
87,AC,2,0.5625,0.5208333333333334
88,AC,2,0.6875,0.4791666666666667
89,AC,2,0.6875,0.625
90,CD,2,0.5,0.4166666666666667
91,CD,2,0.5625,0.5208333333333334
92,CD,2,0.4375,0.4375
93,CD,2,0.625,0.5
94,CD,2,0.5625,0.5833333333333334
95,CD,2,0.625,0.5
96,CG,2,0.5625,0.4583333333333333
97,CG,2,0.3125,0.5625
98,CG,2,0.625,0.5416666666666666
99,CG,2,0.5625,0.5
100,CG,2,0.5625,0.5416666666666666
101,CG,2,0.625,0.5208333333333334
102,DA,2,0.6875,0.5208333333333334
103,DA,2,0.5,0.5833333333333334
104,DA,2,0.5625,0.5833333333333334
105,DA,2,0.5625,0.4583333333333333
106,DA,2,0.375,0.6041666666666666
107,DA,2,0.5,0.5416666666666666
108,JN,2,0.6875,0.4583333333333333
109,JN,2,0.5625,0.4583333333333333
110,JN,2,0.6875,0.4375
111,JN,2,0.5,0.4791666666666667
112,JN,2,0.5,0.5
113,JN,2,0.5625,0.375
114,JS,2,0.5625,0.4583333333333333
115,JS,2,0.5,0.5208333333333334
116,JS,2,0.5,0.4583333333333333
117,JS,2,0.4375,0.4583333333333333
118,JS,2,0.375,0.4791666666666667
119,JS,2,0.4375,0.4791666666666667
120,SK,2,0.625,0.625
121,SK,2,0.625,0.4375
122,SK,2,0.75,0.3958333333333333
123,SK,2,0.6875,0.5208333333333334
124,SK,2,0.75,0.5
125,SK,2,0.5,0.4583333333333333
126,AC,3,0.6875,0.5416666666666666
127,AC,3,0.5625,0.5416666666666666
128,AC,3,0.5625,0.4791666666666667
129,AC,3,0.5625,0.6458333333333334
130,AC,3,0.5625,0.4791666666666667
131,AC,3,0.5625,0.5625
132,CD,3,0.4375,0.5833333333333334
133,CD,3,0.4375,0.5833333333333334
134,CD,3,0.4375,0.5833333333333334
135,CD,3,0.375,0.4791666666666667
136,CD,3,0.4375,0.6666666666666666
137,CD,3,0.4375,0.6041666666666666
138,CG,3,0.625,0.5208333333333334
139,CG,3,0.625,0.5208333333333334
140,CG,3,0.6875,0.5208333333333334
