,Subject,Block,Pre,Post
0,AC,0,0.4375,0.6041666666666666
1,AC,0,0.5,0.5
2,AC,0,0.3125,0.5208333333333334
3,AC,0,0.4375,0.5
4,AC,0,0.5,0.5833333333333334
5,AC,0,0.5,0.5
6,CD,0,0.5625,0.5208333333333334
7,CD,0,0.625,0.4583333333333333
8,CD,0,0.5625,0.5625
9,CD,0,0.625,0.5208333333333334
10,CD,0,0.625,0.4791666666666667
11,CD,0,0.5,0.4166666666666667
12,CG,0,0.4375,0.4583333333333333
13,CG,0,0.4375,0.4583333333333333
14,CG,0,0.5625,0.5
15,CG,0,0.375,0.5833333333333334
16,CG,0,0.5,0.5
17,CG,0,0.4375,0.4583333333333333
18,DA,0,0.5,0.5
19,DA,0,0.5,0.5208333333333334
20,DA,0,0.5,0.4791666666666667
21,DA,0,0.5,0.4791666666666667
22,DA,0,0.5625,0.5208333333333334
23,DA,0,0.5,0.5208333333333334
24,JN,0,0.5625,0.6041666666666666
25,JN,0,0.5,0.5
26,JN,0,0.5625,0.5833333333333334
27,JN,0,0.5,0.5208333333333334
28,JN,0,0.6875,0.6041666666666666
29,JN,0,0.5,0.4583333333333333
30,JS,0,0.625,0.5208333333333334
31,JS,0,0.5625,0.5625
32,JS,0,0.375,0.4375
33,JS,0,0.625,0.5416666666666666
34,JS,0,0.6875,0.5
35,JS,0,0.625,0.4375
36,SK,0,0.5625,0.4583333333333333
37,SK,0,0.5,0.4791666666666667
38,SK,0,0.5,0.4791666666666667
39,SK,0,0.375,0.4791666666666667
40,SK,0,0.5,0.4583333333333333
41,SK,0,0.5625,0.3958333333333333
42,AC,1,0.3125,0.4791666666666667
43,AC,1,0.4375,0.5
44,AC,1,0.4375,0.5208333333333334
45,AC,1,0.375,0.5833333333333334
46,AC,1,0.4375,0.4791666666666667
47,AC,1,0.5625,0.3958333333333333
48,CD,1,0.75,0.4375
49,CD,1,0.625,0.5625
50,CD,1,0.625,0.6041666666666666
51,CD,1,0.625,0.5
52,CD,1,0.625,0.5625
53,CD,1,0.625,0.5416666666666666
54,CG,1,0.5,0.5625
55,CG,1,0.75,0.5208333333333334
56,CG,1,0.5,0.5208333333333334
57,CG,1,0.5,0.5416666666666666
58,CG,1,0.5,0.6041666666666666
59,CG,1,0.4375,0.5833333333333334
60,DA,1,0.375,0.4583333333333333
61,DA,1,0.5,0.625
62,DA,1,0.5,0.4375
63,DA,1,0.5,0.4375
64,DA,1,0.5,0.5208333333333334
65,DA,1,0.5,0.5625
66,JN,1,0.625,0.5833333333333334
67,JN,1,0.5,0.4583333333333333
68,JN,1,0.5625,0.5416666666666666
69,JN,1,0.5,0.5208333333333334
70,JN,1,0.6875,0.5833333333333334
71,JN,1,0.6875,0.5833333333333334
72,JS,1,0.625,0.5416666666666666
73,JS,1,0.4375,0.4791666666666667
74,JS,1,0.375,0.5416666666666666
75,JS,1,0.375,0.5208333333333334
76,JS,1,0.5625,0.5416666666666666
77,JS,1,0.6875,0.5208333333333334
78,SK,1,0.5,0.5208333333333334
79,SK,1,0.625,0.4375
80,SK,1,0.5,0.4791666666666667
81,SK,1,0.4375,0.5
82,SK,1,0.6875,0.4375
83,SK,1,0.6875,0.3541666666666667
84,AC,2,0.4375,0.4791666666666667
85,AC,2,0.4375,0.5
86,AC,2,0.4375,0.5416666666666666
87,AC,2,0.4375,0.5208333333333334
88,AC,2,0.4375,0.5416666666666666
89,AC,2,0.5,0.5
90,CD,2,0.625,0.5416666666666666
91,CD,2,0.6875,0.5
92,CD,2,0.375,0.625
93,CD,2,0.625,0.5208333333333334
94,CD,2,0.625,0.5
95,CD,2,0.6875,0.4166666666666667
96,CG,2,0.4375,0.5
97,CG,2,0.375,0.5625
98,CG,2,0.5,0.5416666666666666
99,CG,2,0.375,0.5625
100,CG,2,0.5,0.5833333333333334
101,CG,2,0.375,0.5625
102,DA,2,0.3125,0.4375
103,DA,2,0.5,0.5
104,DA,2,0.5625,0.5208333333333334
105,DA,2,0.5,0.5416666666666666
