,Subject,Block,Pre,Post
0,AC,0,0.5625,0.4583333333333333
1,CD,0,0.4375,0.4166666666666667
2,CG,0,0.4375,0.5208333333333334
3,DA,0,0.5,0.4166666666666667
4,JN,0,0.625,0.5416666666666666
5,JS,0,0.4375,0.5625
6,SK,0,0.5,0.3333333333333333
7,AC,1,0.625,0.5625
8,CD,1,0.4375,0.5416666666666666
9,CG,1,0.4375,0.4375
10,DA,1,0.4375,0.4791666666666667
11,JN,1,0.5,0.5208333333333334
12,JS,1,0.5,0.4375
13,SK,1,0.4375,0.375
14,AC,2,0.6875,0.5625
15,CD,2,0.375,0.5
16,CG,2,0.4375,0.4583333333333333
17,DA,2,0.625,0.625
18,JN,2,0.5,0.5
19,JS,2,0.3125,0.5208333333333334
20,SK,2,0.625,0.5416666666666666
21,AC,3,0.6875,0.5
22,CD,3,0.5,0.375
23,CG,3,0.5,0.4166666666666667
24,DA,3,0.5,0.5208333333333334
25,JN,3,0.4375,0.5625
26,JS,3,0.5,0.5833333333333334
27,SK,3,0.5,0.5625
28,AC,4,0.4375,0.5833333333333334
29,CD,4,0.375,0.5208333333333334
30,CG,4,0.5,0.5
31,DA,4,0.5,0.4791666666666667
32,JN,4,0.625,0.5833333333333334
33,JS,4,0.25,0.5833333333333334
34,SK,4,0.625,0.5
35,AC,5,0.6875,0.5208333333333334
36,CD,5,0.5,0.3958333333333333
37,CG,5,0.375,0.5416666666666666
38,DA,5,0.5,0.5625
39,JN,5,0.375,0.5416666666666666
40,JS,5,0.5,0.5
41,SK,5,0.6875,0.3958333333333333
42,AC,6,0.6875,0.4791666666666667
43,CD,6,0.4375,0.3541666666666667
44,CG,6,0.5625,0.4583333333333333
45,DA,6,0.5,0.5208333333333334
46,JN,6,0.375,0.5833333333333334
47,JS,6,0.4375,0.5
48,SK,6,0.5625,0.4375
49,AC,7,0.4375,0.5
50,CD,7,0.5,0.4791666666666667
51,CG,7,0.375,0.3541666666666667
52,DA,7,0.5,0.5833333333333334
53,JN,7,0.75,0.5
54,JS,7,0.5,0.4375
55,SK,7,0.625,0.5208333333333334
56,AC,8,0.5625,0.6041666666666666
57,CD,8,0.625,0.5208333333333334
58,CG,8,0.4375,0.4791666666666667
59,DA,8,0.4375,0.5833333333333334
60,JN,8,0.4375,0.5416666666666666
61,JS,8,0.5,0.4375
62,SK,8,0.625,0.4375
63,AC,9,0.625,0.5
64,CD,9,0.4375,0.5208333333333334
65,CG,9,0.5625,0.5416666666666666
66,DA,9,0.5,0.5208333333333334
67,JN,9,0.5,0.5
68,JS,9,0.5,0.5208333333333334
69,SK,9,0.625,0.375
70,AC,10,0.625,0.4375
71,CD,10,0.4375,0.625
72,CG,10,0.5,0.5208333333333334
73,DA,10,0.375,0.5416666666666666
74,JN,10,0.4375,0.5
75,JS,10,0.375,0.3958333333333333
76,SK,10,0.375,0.5625
77,AC,11,0.375,0.6458333333333334
78,CD,11,0.375,0.5625
79,CG,11,0.5625,0.5
80,DA,11,0.5625,0.4791666666666667
81,JN,11,0.5,0.4791666666666667
82,JS,11,0.375,0.5208333333333334
83,SK,11,0.25,0.5833333333333334
84,AC,12,0.4375,0.5833333333333334
85,CD,12,0.5,0.5
86,CG,12,0.375,0.5833333333333334
87,DA,12,0.4375,0.4791666666666667
88,JN,12,0.625,0.4583333333333333
89,JS,12,0.4375,0.5208333333333334
90,SK,12,0.5,0.5
91,AC,13,0.5,0.4583333333333333
92,CD,13,0.4375,0.375
93,CG,13,0.5625,0.625
94,DA,13,0.5,0.5208333333333334
95,JN,13,0.4375,0.5208333333333334
96,JS,13,0.5,0.5
97,SK,13,0.4375,0.5625
98,AC,14,0.625,0.5416666666666666
99,CD,14,0.5,0.4791666666666667
100,CG,14,0.5625,0.5416666666666666
101,DA,14,0.375,0.6041666666666666
102,JN,14,0.5,0.5416666666666666
103,JS,14,0.4375,0.5
104,SK,14,0.5625,0.5833333333333334
105,AC,15,0.5625,0.5625
106,CD,15,0.4375,0.4791666666666667
107,CG,15,0.5625,0.4791666666666667
108,DA,15,0.4375,0.5416666666666666
109,JN,15,0.5625,0.5625
110,JS,15,0.5,0.4791666666666667
111,SK,15,0.3125,0.5208333333333334
112,AC,16,0.375,0.3958333333333333
113,CD,16,0.5,0.3958333333333333
114,CG,16,0.5,0.3958333333333333
115,DA,16,0.5,0.4375
116,JN,16,0.375,0.625
117,JS,16,0.375,0.5
118,SK,16,0.3125,0.4791666666666667
119,AC,17,0.5625,0.4166666666666667
120,CD,17,0.4375,0.5208333333333334
121,CG,17,0.5625,0.5416666666666666
122,DA,17,0.3125,0.5208333333333334
123,JN,17,0.5,0.5
124,JS,17,0.5625,0.5208333333333334
125,SK,17,0.4375,0.4375
126,AC,18,0.375,0.3958333333333333
127,CD,18,0.625,0.4375
128,CG,18,0.6875,0.5416666666666666
129,DA,18,0.4375,0.4375
130,JN,18,0.5,0.5
131,JS,18,0.4375,0.4583333333333333
132,SK,18,0.5,0.5208333333333334
133,AC,19,0.4375,0.5416666666666666
134,CD,19,0.625,0.4166666666666667
135,CG,19,0.4375,0.5833333333333334
136,DA,19,0.4375,0.4583333333333333
137,JN,19,0.3125,0.5416666666666666
138,JS,19,0.5625,0.4375
139,SK,19,0.4375,0.5625
140,AC,20,0.625,0.4375
141,CD,20,0.5625,0.3958333333333333
142,CG,20,0.5625,0.625
143,DA,20,0.5,0.5208333333333334
144,JN,20,0.5625,0.5208333333333334
145,JS,20,0.5,0.4166666666666667
146,SK,20,0.4375,0.5208333333333334
147,AC,21,0.5625,0.5
148,CD,21,0.5,0.5208333333333334
149,CG,21,0.4375,0.5
150,DA,21,0.5625,0.4375
151,JN,21,0.6875,0.5416666666666666
152,JS,21,0.4375,0.5833333333333334
153,SK,21,0.375,0.5416666666666666
154,AC,22,0.5,0.5416666666666666
155,CD,22,0.625,0.3333333333333333
156,CG,22,0.5625,0.4791666666666667
157,DA,22,0.5,0.5208333333333334
158,JN,22,0.875,0.4166666666666667
159,JS,22,0.25,0.5
160,SK,22,0.5625,0.6041666666666666
161,AC,23,0.25,0.5833333333333334
162,CD,23,0.5,0.5
163,CG,23,0.6875,0.5208333333333334
164,DA,23,0.5,0.4583333333333333
165,JN,23,0.4375,0.4583333333333333
166,JS,23,0.4375,0.5208333333333334
167,SK,23,0.5625,0.4791666666666667
168,AC,24,0.4375,0.5416666666666666
169,CD,24,0.375,0.4375
170,CG,24,0.5625,0.3958333333333333
