,Subject,Block,Pre,Post
0,AC,0,0.4375,0.5208333333333334
1,CD,0,0.625,0.4583333333333333
2,CG,0,0.5,0.4791666666666667
3,DA,0,0.5,0.5
4,JN,0,0.625,0.625
5,JS,0,0.625,0.5208333333333334
6,SK,0,0.5625,0.4791666666666667
7,AC,1,0.375,0.5833333333333334
8,CD,1,0.625,0.5208333333333334
9,CG,1,0.4375,0.5625
10,DA,1,0.5,0.4791666666666667
11,JN,1,0.625,0.6666666666666666
12,JS,1,0.75,0.5208333333333334
13,SK,1,0.6875,0.4166666666666667
14,AC,2,0.4375,0.5
15,CD,2,0.625,0.5625
16,CG,2,0.375,0.5625
17,DA,2,0.5,0.5416666666666666
18,JN,2,0.5625,0.5416666666666666
19,JS,2,0.4375,0.5
20,SK,2,0.375,0.4166666666666667
21,AC,3,0.5,0.5208333333333334
22,CD,3,0.625,0.5
23,CG,3,0.375,0.5625
24,DA,3,0.4375,0.4583333333333333
25,JN,3,0.6875,0.5833333333333334
26,JS,3,0.5625,0.5
27,SK,3,0.5625,0.4375
28,AC,4,0.6875,0.5625
29,CD,4,0.4375,0.6041666666666666
30,CG,4,0.5,0.5
31,DA,4,0.5,0.5208333333333334
32,JN,4,0.6875,0.6041666666666666
33,JS,4,0.625,0.5
34,SK,4,0.5625,0.5
35,AC,5,0.4375,0.5416666666666666
36,CD,5,0.625,0.5208333333333334
37,CG,5,0.5625,0.6041666666666666
38,DA,5,0.5625,0.5416666666666666
39,JN,5,0.5625,0.6041666666666666
40,JS,5,0.625,0.5208333333333334
41,SK,5,0.5625,0.5416666666666666
42,AC,6,0.5,0.5416666666666666
43,CD,6,0.625,0.5
44,CG,6,0.5,0.5416666666666666
45,DA,6,0.5,0.5208333333333334
46,JN,6,0.6875,0.6458333333333334
47,JS,6,0.5625,0.5833333333333334
48,SK,6,0.5625,0.4791666666666667
49,AC,7,0.4375,0.5208333333333334
50,CD,7,0.625,0.4583333333333333
51,CG,7,0.625,0.5
52,DA,7,0.5,0.4583333333333333
53,JN,7,0.5625,0.5416666666666666
54,JS,7,0.6875,0.5
55,SK,7,0.5,0.5
56,AC,8,0.4375,0.5416666666666666
57,CD,8,0.5,0.5
58,CG,8,0.5625,0.5625
59,DA,8,0.5,0.5416666666666666
60,JN,8,0.625,0.625
61,JS,8,0.6875,0.5208333333333334
62,SK,8,0.5,0.4583333333333333
63,AC,9,0.4375,0.5208333333333334
64,CD,9,0.625,0.5
65,CG,9,0.5,0.5
66,DA,9,0.5,0.4583333333333333
67,JN,9,0.4375,0.5833333333333334
68,JS,9,0.625,0.4791666666666667
69,SK,9,0.5625,0.5
70,AC,10,0.5625,0.4583333333333333
71,CD,10,0.5,0.6666666666666666
72,CG,10,0.375,0.5833333333333334
73,DA,10,0.5,0.4791666666666667
74,JN,10,0.6875,0.625
75,JS,10,0.5625,0.5833333333333334
76,SK,10,0.5625,0.5416666666666666
77,AC,11,0.4375,0.5208333333333334
78,CD,11,0.625,0.5625
79,CG,11,0.5625,0.6041666666666666
80,DA,11,0.5,0.5208333333333334
81,JN,11,0.75,0.6875
82,JS,11,0.6875,0.5833333333333334
83,SK,11,0.6875,0.4375
84,AC,12,0.5,0.5208333333333334
85,CD,12,0.5,0.5
86,CG,12,0.4375,0.4583333333333333
87,DA,12,0.5,0.5
88,JN,12,0.6875,0.625
89,JS,12,0.6875,0.5416666666666666
90,SK,12,0.4375,0.5208333333333334
91,AC,13,0.5,0.5
92,CD,13,0.625,0.4375
93,CG,13,0.4375,0.5208333333333334
94,DA,13,0.5,0.5
95,JN,13,0.5,0.5833333333333334
96,JS,13,0.4375,0.5
97,SK,13,0.5,0.5
98,AC,14,0.625,0.5
99,CD,14,0.8125,0.5
100,CG,14,0.5,0.5208333333333334
101,DA,14,0.5,0.5625
102,JN,14,0.8125,0.6041666666666666
103,JS,14,0.625,0.5
104,SK,14,0.5,0.5
105,AC,15,0.4375,0.5625
106,CD,15,0.5625,0.5
107,CG,15,0.3125,0.4791666666666667
108,DA,15,0.5,0.4791666666666667
109,JN,15,0.625,0.5
110,JS,15,0.75,0.5833333333333334
111,SK,15,0.625,0.4583333333333333
112,AC,16,0.5,0.5
113,CD,16,0.625,0.5208333333333334
114,CG,16,0.5,0.5416666666666666
115,DA,16,0.5,0.5208333333333334
116,JN,16,0.5625,0.6875
117,JS,16,0.5,0.5416666666666666
118,SK,16,0.5625,0.5208333333333334
119,AC,17,0.5,0.5
120,CD,17,0.625,0.5208333333333334
121,CG,17,0.6875,0.4791666666666667
122,DA,17,0.5,0.4583333333333333
123,JN,17,0.6875,0.75
124,JS,17,0.375,0.5833333333333334
125,SK,17,0.625,0.4583333333333333
126,AC,18,0.4375,0.5
127,CD,18,0.5,0.5
128,CG,18,0.625,0.5416666666666666
129,DA,18,0.5,0.5208333333333334
130,JN,18,0.625,0.4791666666666667
131,JS,18,0.6875,0.5625
132,SK,18,0.5,0.4583333333333333
133,AC,19,0.5,0.5
134,CD,19,0.5,0.5416666666666666
135,CG,19,0.375,0.5
136,DA,19,0.5,0.4583333333333333
137,JN,19,0.375,0.4375
138,JS,19,0.75,0.5208333333333334
139,SK,19,0.5,0.4791666666666667
140,AC,20,0.5625,0.5208333333333334
141,CD,20,0.5,0.4583333333333333
142,CG,20,0.4375,0.4791666666666667
143,DA,20,0.4375,0.6041666666666666
144,JN,20,0.625,0.6041666666666666
145,JS,20,0.6875,0.6041666666666666
146,SK,20,0.5,0.5416666666666666
147,AC,21,0.4375,0.5625
148,CD,21,0.5625,0.4791666666666667
149,CG,21,0.4375,0.5
150,DA,21,0.5,0.5
151,JN,21,0.625,0.6666666666666666
152,JS,21,0.5625,0.5
153,SK,21,0.5,0.3958333333333333
154,AC,22,0.4375,0.5625
155,CD,22,0.625,0.4791666666666667
156,CG,22,0.5625,0.4583333333333333
157,DA,22,0.5,0.4166666666666667
158,JN,22,0.6875,0.625
159,JS,22,0.75,0.6666666666666666
160,SK,22,0.625,0.5416666666666666
161,AC,23,0.5,0.5416666666666666
162,CD,23,0.625,0.5208333333333334
163,CG,23,0.4375,0.6458333333333334
164,DA,23,0.5,0.5416666666666666
165,JN,23,0.75,0.5833333333333334
166,JS,23,0.625,0.6041666666666666
167,SK,23,0.5625,0.5208333333333334
168,AC,24,0.5625,0.5208333333333334
169,CD,24,0.6875,0.5833333333333334
170,CG,24,0.5,0.5416666666666666
171,DA,24,0.5,0.5
172,JN,24,0.625,0.5416666666666666
173,JS,24,0.375,0.5208333333333334
174,SK,24,0.5625,0.5
175,AC,25,0.4375,0.5208333333333334
176,CD,25,0.625,0.4583333333333333
177,CG,25,0.5625,0.5
178,DA,25,0.5,0.4791666666666667
179,JN,25,0.625,0.6666666666666666
180,JS,25,0.6875,0.6041666666666666
181,SK,25,0.5,0.5208333333333334
182,AC,26,0.4375,0.5416666666666666
183,CD,26,0.5625,0.6458333333333334
184,CG,26,0.5625,0.5833333333333334
185,DA,26,0.5,0.5208333333333334
186,JN,26,0.4375,0.5208333333333334
187,JS,26,0.4375,0.5833333333333334
