,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6388888888888888,0.5993589743589742,0.7291666666666666,0.6541666666666666,0.7708333333333334,0.6416666666666666,0.6180555555555555,0.6166666666666666,0.6215277777777778,0.6510416666666666
CC,0.6631944444444445,,0.5993589743589743,0.7152777777777778,0.6687500000000001,0.7638888888888888,0.6312499999999999,0.6180555555555556,0.6194444444444444,0.6006944444444444,0.6371527777777779
GD,0.6736111111111112,0.6440972222222222,,0.7152777777777777,0.6666666666666666,0.75,0.6208333333333333,0.6273148148148148,0.6124999999999999,0.623263888888889,0.6371527777777778
JM,0.6701388888888888,0.6250000000000001,0.6025641025641025,,0.68125,0.7500000000000001,0.6208333333333332,0.6342592592592593,0.6236111111111112,0.6215277777777778,0.6458333333333334
JR,0.6770833333333334,0.6302083333333333,0.5993589743589743,0.7499999999999999,,0.7569444444444443,0.6249999999999999,0.6435185185185185,0.6041666666666667,0.6145833333333334,0.6354166666666666
JS,0.6666666666666666,0.6440972222222222,0.6121794871794873,0.7430555555555555,0.6625,,0.6249999999999999,0.6203703703703702,0.6194444444444445,0.6163194444444445,0.6440972222222222
ML,0.65625,0.6597222222222222,0.6057692307692306,0.7222222222222222,0.6729166666666666,0.7361111111111112,,0.6273148148148148,0.6180555555555556,0.6197916666666667,0.6406250000000001
NL,0.6666666666666666,0.6440972222222222,0.5977564102564102,0.7083333333333334,0.6750000000000002,0.7638888888888888,0.63125,,0.6152777777777777,0.6180555555555556,0.6475694444444444
RK,0.6840277777777777,0.6406249999999999,0.596153846153846,0.7152777777777777,0.6541666666666666,0.7361111111111112,0.6166666666666666,0.6412037037037036,,0.6197916666666666,0.6319444444444445
SC,0.6666666666666666,0.640625,0.610576923076923,0.7152777777777777,0.65,0.7430555555555557,0.6229166666666667,0.6134259259259259,0.6152777777777777,,0.6388888888888888
YY,0.6666666666666666,0.6440972222222222,0.5993589743589743,0.7083333333333334,0.6645833333333333,0.7569444444444443,0.6333333333333333,0.625,0.6222222222222221,0.6145833333333334,
