,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5590277777777779,0.517361111111111,0.5729166666666667,0.5381944444444445,0.5173611111111112,0.5173611111111112,0.513888888888889,0.5243055555555555,0.5243055555555555,0.5034722222222222
CC,0.5381944444444445,,0.5156250000000001,0.5364583333333334,0.517361111111111,0.5104166666666666,0.5260416666666666,0.5243055555555555,0.5434027777777778,0.5086805555555555,0.47222222222222227
GD,0.4903846153846154,0.4615384615384615,,0.516025641025641,0.5208333333333334,0.4983974358974359,0.5208333333333333,0.4743589743589744,0.48878205128205127,0.5096153846153847,0.5192307692307693
JM,0.4513888888888889,0.4930555555555555,0.47222222222222215,,0.513888888888889,0.4930555555555556,0.4791666666666667,0.5208333333333334,0.5208333333333333,0.4166666666666667,0.43750000000000006
JR,0.5312500000000001,0.48125,0.5229166666666666,0.49166666666666664,,0.5041666666666668,0.5541666666666667,0.48541666666666666,0.49999999999999994,0.5145833333333333,0.5395833333333333
JS,0.513888888888889,0.5486111111111112,0.5763888888888888,0.513888888888889,0.5625,,0.5625,0.47222222222222215,0.5,0.5069444444444444,0.5833333333333334
ML,0.5145833333333333,0.48333333333333334,0.5208333333333334,0.46874999999999994,0.5145833333333334,0.5416666666666667,,0.43749999999999994,0.4854166666666666,0.5020833333333333,0.5145833333333333
NL,0.5023148148148148,0.4976851851851851,0.4606481481481481,0.4930555555555556,0.4976851851851851,0.4791666666666667,0.4953703703703703,,0.5300925925925926,0.48148148148148145,0.4490740740740741
RK,0.525,0.5277777777777778,0.5152777777777778,0.4819444444444445,0.5263888888888888,0.5041666666666667,0.5277777777777778,0.5097222222222222,,0.5166666666666667,0.5236111111111111
SC,0.5381944444444445,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.5052083333333334,0.5104166666666667,0.5225694444444444,0.5364583333333334,0.5086805555555557,,0.48784722222222227
YY,0.501736111111111,0.4670138888888889,0.5260416666666667,0.5,0.5347222222222223,0.5329861111111112,0.5347222222222222,0.4670138888888889,0.501736111111111,0.4913194444444445,
