,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.625,0.5,0.5,0.5416666666666666,0.5416666666666666,0.5,0.6666666666666666,0.5,0.5,0.5
CC,0.5,,0.5416666666666666,0.5,0.4791666666666667,0.5,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.5,0.4791666666666667
GD,0.4423076923076923,0.4230769230769231,,0.5384615384615384,0.4230769230769231,0.5192307692307693,0.5192307692307693,0.38461538461538464,0.40384615384615385,0.40384615384615385,0.5192307692307693
JM,0.25,0.3333333333333333,0.5,,0.6666666666666666,0.5,0.5833333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5
JR,0.475,0.425,0.425,0.425,,0.4,0.5,0.475,0.55,0.55,0.475
JS,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5
ML,0.475,0.4,0.5,0.475,0.4,0.525,,0.475,0.35,0.525,0.475
NL,0.7222222222222222,0.6388888888888888,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.6111111111111112,0.5277777777777778,,0.6388888888888888,0.5,0.4166666666666667
RK,0.5,0.5166666666666667,0.48333333333333334,0.5166666666666667,0.5166666666666667,0.5333333333333333,0.5166666666666667,0.5166666666666667,,0.55,0.48333333333333334
SC,0.6041666666666666,0.5416666666666666,0.5,0.4791666666666667,0.5416666666666666,0.4791666666666667,0.5208333333333334,0.5416666666666666,0.5625,,0.5208333333333334
YY,0.3958333333333333,0.4583333333333333,0.4791666666666667,0.5208333333333334,0.4166666666666667,0.5,0.5208333333333334,0.3333333333333333,0.3125,0.4166666666666667,
