,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5104166666666667,0.5069444444444443,0.4756944444444444,0.5381944444444445,0.46180555555555564,0.5173611111111112,0.5,0.46875,0.5069444444444445,0.5173611111111112,0.5208333333333334,0.4444444444444444
CC,0.5000000000000001,,0.5052083333333334,0.46527777777777785,0.4895833333333334,0.5086805555555556,0.4756944444444445,0.501736111111111,0.49652777777777773,0.4895833333333334,0.5190972222222222,0.5208333333333334,0.48090277777777773
CG,,,,,,,,,,,,,
GD,0.49519230769230776,0.5096153846153847,0.5064102564102564,,0.5240384615384616,0.5416666666666666,0.5128205128205128,0.5048076923076923,0.48717948717948717,0.5240384615384615,0.5208333333333333,0.5400641025641025,0.4951923076923077
JM,0.5486111111111112,0.5069444444444444,0.5069444444444445,0.576388888888889,,0.4861111111111111,0.5625,0.5208333333333334,0.5138888888888888,0.46527777777777773,0.5,0.513888888888889,0.548611111111111
JR,0.5083333333333333,0.5479166666666666,0.4833333333333334,0.4937499999999999,0.5,,0.5229166666666667,0.5479166666666667,0.4479166666666667,0.525,0.4791666666666667,0.5166666666666667,0.5312499999999999
JS,0.4930555555555555,0.5,0.5069444444444444,0.5694444444444444,0.5277777777777778,0.5069444444444445,,0.5277777777777778,0.40277777777777773,0.4791666666666666,0.5138888888888888,0.5138888888888888,0.548611111111111
ML,0.4895833333333334,0.5125000000000001,0.5145833333333334,0.5187499999999999,0.5104166666666666,0.5395833333333334,0.5270833333333333,,0.4791666666666667,0.5354166666666667,0.5333333333333333,0.5145833333333334,0.5333333333333333
NL,0.4953703703703703,0.47453703703703703,0.47685185185185186,0.48148148148148157,0.4953703703703704,0.4490740740740741,0.46527777777777785,0.4699074074074075,,0.47453703703703703,0.488425925925926,0.47222222222222227,0.49074074074074076
RK,0.48611111111111116,0.49583333333333335,0.48750000000000004,0.4930555555555556,0.49166666666666664,0.5041666666666668,0.4902777777777778,0.4666666666666666,0.48611111111111116,,0.47083333333333327,0.48194444444444445,0.4847222222222223
SC,0.517361111111111,0.5086805555555556,0.5086805555555556,0.501736111111111,0.5208333333333334,0.5052083333333334,0.513888888888889,0.5347222222222222,0.47048611111111116,0.5086805555555556,,0.5104166666666667,0.5034722222222222
TP,,,,,,,,,,,,,
YY,0.4583333333333334,0.4895833333333333,0.5086805555555556,0.48090277777777785,0.4913194444444444,0.5260416666666666,0.5017361111111112,0.49652777777777773,0.46527777777777785,0.5017361111111112,0.47222222222222227,0.4635416666666667,
