,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5277777777777778,0.5833333333333334,0.5625,0.5833333333333333,0.48611111111111116,0.4930555555555556,0.5138888888888888,0.625,0.4930555555555555,0.5694444444444444,0.5347222222222222,0.5208333333333333
CC,0.578125,,0.59375,0.5520833333333334,0.5885416666666666,0.5572916666666666,0.59375,0.53125,0.5625,0.6041666666666666,0.5052083333333334,0.578125,0.5052083333333334
CG,0.576388888888889,0.5555555555555555,,0.4791666666666667,0.548611111111111,0.46527777777777785,0.5277777777777778,0.576388888888889,0.5416666666666666,0.5,0.5208333333333334,0.576388888888889,0.5
GD,0.53125,0.53125,0.5,,0.5208333333333334,0.3854166666666667,0.4791666666666667,0.4895833333333333,0.6354166666666666,0.4895833333333333,0.5,0.5416666666666666,0.5
JM,0.5555555555555556,0.5277777777777777,0.5347222222222222,0.4305555555555555,,0.5555555555555556,0.5694444444444443,0.48611111111111116,0.40972222222222215,0.5277777777777778,0.5833333333333333,0.5208333333333333,0.5
JR,0.513888888888889,0.5138888888888888,0.5416666666666667,0.513888888888889,0.5347222222222222,,0.5347222222222222,0.4861111111111111,0.5208333333333334,0.548611111111111,0.5138888888888888,0.5486111111111112,0.5347222222222222
JS,0.5416666666666666,0.5902777777777777,0.5833333333333334,0.5277777777777778,0.6180555555555556,0.4930555555555555,,0.5624999999999999,0.5555555555555555,0.5277777777777778,0.5694444444444444,0.5277777777777778,0.4861111111111111
ML,0.47222222222222227,0.5208333333333334,0.5763888888888887,0.5347222222222222,0.48611111111111116,0.5972222222222222,0.611111111111111,,0.4305555555555555,0.6180555555555556,0.5416666666666666,0.6319444444444443,0.5208333333333334
NL,0.5572916666666666,0.5052083333333334,0.53125,0.5052083333333334,0.53125,0.4479166666666667,0.5260416666666666,0.4947916666666667,,0.453125,0.4739583333333333,0.4947916666666667,0.4635416666666667
RK,0.5208333333333334,0.5208333333333334,0.5277777777777778,0.5069444444444444,0.5,0.5069444444444445,0.5555555555555557,0.5694444444444445,0.4930555555555556,,0.5277777777777778,0.513888888888889,0.5277777777777778
SC,0.53125,0.5729166666666666,0.5572916666666666,0.5677083333333334,0.59375,0.5416666666666666,0.5416666666666666,0.5260416666666666,0.5208333333333334,0.546875,,0.546875,0.4947916666666667
TP,0.49999999999999994,0.5555555555555556,0.5069444444444444,0.513888888888889,0.5208333333333334,0.46527777777777785,0.4791666666666667,0.4791666666666667,0.5347222222222222,0.4791666666666666,0.5902777777777778,,0.49999999999999994
YY,0.5416666666666666,0.53125,0.5885416666666666,0.5416666666666666,0.5416666666666666,0.515625,0.5572916666666666,0.5625,0.5208333333333334,0.4947916666666667,0.578125,0.59375,
