,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.5,0.4166666666666667,0.5,0.3333333333333333,0.5,0.4166666666666667,0.25,0.5833333333333334,0.3333333333333333
CC,0.625,,0.5625,0.4375,0.375,0.625,0.625,0.4375,0.625,0.4375,0.25,0.5,0.4375
CG,0.6666666666666666,0.5833333333333334,,0.5,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666,0.75,0.5
GD,0.625,0.5,0.375,,0.625,0.375,0.5,0.5,0.75,0.5,0.5,0.5,0.625
JM,0.5833333333333334,0.5,0.3333333333333333,0.4166666666666667,,0.4166666666666667,0.4166666666666667,0.25,0.5,0.5,0.5,0.5833333333333334,0.4166666666666667
JR,0.5833333333333334,0.3333333333333333,0.5,0.5833333333333334,0.5,,0.25,0.4166666666666667,0.5,0.75,0.5,0.5833333333333334,0.5
JS,0.5,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.25,,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5,0.5,0.75
ML,0.25,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5,,0.3333333333333333,0.6666666666666666,0.5,0.5833333333333334,0.4166666666666667
NL,0.375,0.5,0.5,0.4375,0.5,0.4375,0.5625,0.5,,0.5625,0.4375,0.375,0.625
RK,0.5,0.4166666666666667,0.5,0.5,0.5833333333333334,0.5,0.6666666666666666,0.5833333333333334,0.5,,0.5833333333333334,0.5833333333333334,0.4166666666666667
SC,0.5625,0.5,0.6875,0.5625,0.5,0.625,0.5625,0.5625,0.375,0.5625,,0.5625,0.5625
TP,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,,0.5833333333333334
YY,0.75,0.4375,0.625,0.3125,0.625,0.4375,0.5625,0.375,0.4375,0.3125,0.5,0.5625,
