,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,,,,,,,,,,,,
CC,0.4791666666666667,,0.5416666666666666,0.4791666666666667,0.5104166666666666,0.484375,0.5052083333333334,0.515625,0.5260416666666666,0.4947916666666667,0.5520833333333334,0.5364583333333334,0.5208333333333334
CG,,,,,,,,,,,,,
GD,0.5277777777777778,0.5624999999999999,0.5555555555555555,,0.5555555555555556,0.5416666666666666,0.6319444444444445,0.6111111111111112,0.576388888888889,0.5416666666666667,0.5347222222222222,0.5208333333333334,0.576388888888889
JM,0.5277777777777778,0.548611111111111,0.5277777777777778,0.5069444444444443,,0.5416666666666666,0.5069444444444444,0.5277777777777778,0.5416666666666666,0.5416666666666667,0.5555555555555555,0.5,0.5347222222222223
JR,,,,,,,,,,,,,
JS,0.5555555555555555,0.5277777777777778,0.4930555555555556,0.5347222222222222,0.46527777777777785,0.4791666666666667,,0.5416666666666666,0.5208333333333334,0.5347222222222222,0.4930555555555556,0.5138888888888888,0.5416666666666666
ML,,,,,,,,,,,,,
NL,0.42361111111111116,0.4513888888888889,0.5486111111111113,0.4513888888888889,0.5138888888888888,0.4652777777777779,0.46527777777777773,0.5416666666666666,,0.47222222222222227,0.47222222222222215,0.4930555555555555,0.5277777777777778
RK,0.4930555555555556,0.5,0.5555555555555556,0.5347222222222222,0.5138888888888888,0.4791666666666667,0.5416666666666666,0.5416666666666666,0.5625,,0.5069444444444444,0.5902777777777777,0.47916666666666674
SC,0.5052083333333334,0.5052083333333334,0.515625,0.5104166666666666,0.515625,0.484375,0.5104166666666666,0.546875,0.5520833333333334,0.546875,,0.53125,0.53125
TP,,,,,,,,,,,,,
YY,0.5260416666666666,0.4791666666666667,0.5364583333333334,0.4947916666666667,0.5364583333333334,0.453125,0.53125,0.5208333333333334,0.5625,0.5572916666666666,0.5416666666666666,0.5364583333333334,
