,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.576388888888889,0.5763888888888888,0.5902777777777778,0.5902777777777778,0.4930555555555556,0.5625,0.5625000000000001,0.5555555555555557,0.5972222222222222,0.5555555555555556,0.5347222222222222,0.49999999999999994
CC,0.4895833333333333,,0.5625,0.515625,0.546875,0.546875,0.5625,0.5520833333333334,0.53125,0.4947916666666667,0.515625,0.546875,0.5104166666666666
CG,0.5347222222222222,0.6180555555555556,,0.576388888888889,0.5972222222222222,0.47222222222222215,0.6666666666666666,0.6319444444444445,0.6180555555555556,0.5902777777777778,0.5486111111111112,0.5833333333333334,0.611111111111111
GD,0.6458333333333334,0.625,0.6770833333333334,,0.6458333333333334,0.5,0.5729166666666666,0.65625,0.65625,0.6145833333333334,0.5520833333333334,0.6666666666666666,0.5625
JM,0.5347222222222222,0.5833333333333334,0.5902777777777778,0.6250000000000001,,0.47222222222222227,0.6041666666666666,0.6180555555555555,0.6319444444444444,0.6111111111111112,0.5277777777777777,0.5625000000000001,0.5555555555555555
JR,0.4791666666666667,0.5277777777777779,0.47222222222222227,0.4305555555555555,0.4791666666666666,,0.5069444444444445,0.47222222222222227,0.4166666666666667,0.4305555555555555,0.4791666666666667,0.4583333333333333,0.4305555555555555
JS,0.5347222222222222,0.5833333333333333,0.6180555555555556,0.5833333333333331,0.6041666666666666,0.513888888888889,,0.6180555555555555,0.5694444444444445,0.5972222222222222,0.5625,0.6319444444444444,0.576388888888889
ML,0.5972222222222222,0.5555555555555556,0.6319444444444445,0.6319444444444444,0.5972222222222222,0.4583333333333334,0.6041666666666666,,0.638888888888889,0.6597222222222222,0.5694444444444444,0.6319444444444443,0.5972222222222223
NL,0.5364583333333334,0.5208333333333334,0.6458333333333334,0.625,0.6458333333333334,0.4375,0.6145833333333334,0.65625,,0.609375,0.5989583333333334,0.59375,0.6510416666666666
RK,0.5416666666666666,0.513888888888889,0.6319444444444444,0.5833333333333334,0.5694444444444444,0.4791666666666667,0.5902777777777778,0.6319444444444444,0.6597222222222223,,0.548611111111111,0.5416666666666666,0.5972222222222222
SC,0.53125,0.5104166666666666,0.515625,0.5104166666666666,0.484375,0.5208333333333334,0.46875,0.515625,0.5,0.5104166666666666,,0.5104166666666666,0.5052083333333334
TP,0.5416666666666666,0.5277777777777778,0.5347222222222222,0.5277777777777778,0.5138888888888887,0.5,0.548611111111111,0.5902777777777778,0.4791666666666666,0.5833333333333331,0.513888888888889,,0.5000000000000001
YY,0.6145833333333334,0.59375,0.6145833333333334,0.609375,0.6145833333333334,0.5104166666666666,0.6041666666666666,0.5677083333333334,0.609375,0.5885416666666666,0.5729166666666666,0.5833333333333334,
