,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.71875,0.75,0.8,0.6666666666666666,0.8333333333333334,0.7916666666666666,0.75,0.6428571428571429,0.7083333333333334,0.625,0.9166666666666666,0.6875
CC,0.8333333333333334,,0.75,0.8,0.625,0.8333333333333334,0.7083333333333334,0.75,0.6428571428571429,0.6666666666666666,0.625,0.9166666666666666,0.6875
CG,0.75,0.75,,0.7,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6428571428571429,0.7083333333333334,0.59375,0.6666666666666666,0.6875
GD,0.75,0.75,0.75,,0.6666666666666666,0.8333333333333334,0.7083333333333334,0.75,0.6428571428571429,0.6666666666666666,0.625,0.8333333333333334,0.71875
JM,0.8333333333333334,0.71875,0.75,0.75,,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.6785714285714286,0.6666666666666666,0.59375,0.75,0.65625
JR,0.8333333333333334,0.71875,0.75,0.75,0.75,,0.7083333333333334,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.59375,0.6666666666666666,0.6875
JS,0.75,0.75,0.75,0.75,0.625,0.8333333333333334,,0.8333333333333334,0.6785714285714286,0.7083333333333334,0.625,0.6666666666666666,0.65625
ML,0.8333333333333334,0.71875,0.75,0.75,0.6666666666666666,0.8333333333333334,0.75,,0.6428571428571429,0.7083333333333334,0.59375,0.9166666666666666,0.71875
NL,0.75,0.71875,0.75,0.7,0.75,0.8333333333333334,0.6666666666666666,0.75,,0.7083333333333334,0.625,0.75,0.59375
RK,0.8333333333333334,0.75,0.75,0.75,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6428571428571429,,0.59375,0.75,0.6875
SC,0.8333333333333334,0.6875,0.8333333333333334,0.8,0.625,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.5714285714285714,0.7083333333333334,,0.6666666666666666,0.6875
TP,0.8333333333333334,0.75,0.75,0.8,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.6428571428571429,0.75,0.59375,,0.6875
YY,0.75,0.71875,0.8333333333333334,0.75,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.625,0.9166666666666666,
