,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5104166666666667,0.5104166666666666,0.5520833333333333,0.5833333333333334,0.53125,0.5208333333333334,0.5520833333333334,0.5937500000000001,0.6354166666666667,0.5000000000000001,0.5416666666666667,0.5208333333333334
CC,0.5625,,0.625,0.59375,0.546875,0.5546875,0.6171875,0.5234375,0.5859375,0.453125,0.5546875,0.6015625,0.5234375
CG,0.5729166666666667,0.5416666666666666,,0.5729166666666666,0.53125,0.5833333333333334,0.5520833333333334,0.53125,0.59375,0.5729166666666666,0.6041666666666666,0.5520833333333333,0.6041666666666666
GD,0.578125,0.609375,0.578125,,0.5,0.625,0.625,0.484375,0.609375,0.546875,0.53125,0.5625,0.5625
JM,0.53125,0.59375,0.6249999999999999,0.5520833333333333,,0.5729166666666666,0.5625,0.6041666666666666,0.5104166666666666,0.4895833333333333,0.6041666666666666,0.5833333333333334,0.6041666666666666
JR,0.5104166666666666,0.53125,0.53125,0.48958333333333337,0.5520833333333334,,0.5208333333333334,0.48958333333333337,0.5416666666666667,0.5520833333333334,0.5208333333333334,0.5104166666666667,0.53125
JS,0.5833333333333334,0.5937499999999999,0.6354166666666666,0.53125,0.5833333333333334,0.6145833333333334,,0.5208333333333334,0.59375,0.53125,0.53125,0.5729166666666667,0.5416666666666666
ML,0.5104166666666666,0.5,0.4479166666666667,0.4479166666666667,0.53125,0.5104166666666667,0.4166666666666667,,0.40625,0.5,0.43749999999999994,0.53125,0.5104166666666666
NL,0.5859375,0.578125,0.609375,0.53125,0.6015625,0.6171875,0.6171875,0.4609375,,0.4921875,0.6015625,0.609375,0.5859375
RK,0.5208333333333334,0.5,0.5520833333333334,0.4791666666666667,0.5520833333333334,0.5625000000000001,0.5416666666666667,0.5729166666666667,0.46875000000000006,,0.4895833333333334,0.4791666666666667,0.5520833333333334
SC,0.5546875,0.5546875,0.578125,0.515625,0.59375,0.546875,0.578125,0.515625,0.5234375,0.53125,,0.5859375,0.546875
TP,0.53125,0.5520833333333334,0.5416666666666666,0.5208333333333333,0.5729166666666667,0.6458333333333335,0.5520833333333334,0.53125,0.5416666666666667,0.5,0.5104166666666667,,0.5416666666666667
YY,0.5546875,0.5703125,0.5703125,0.578125,0.578125,0.5703125,0.6015625,0.5078125,0.53125,0.5,0.5703125,0.5625,
