,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.6796875,0.7708333333333333,0.8125,0.7083333333333333,0.7708333333333334,0.7708333333333334,0.8020833333333334,0.78125,0.8333333333333334,0.6953125,0.71875,0.7578125
CC,0.7083333333333333,,0.7916666666666666,0.796875,0.71875,0.7291666666666667,0.7395833333333334,0.7916666666666666,0.796875,0.8333333333333334,0.7109375,0.7187500000000001,0.7421875
CG,0.7083333333333333,0.703125,,0.78125,0.7291666666666667,0.7395833333333334,0.7604166666666666,0.7916666666666666,0.765625,0.8333333333333334,0.6875,0.6979166666666667,0.78125
GD,0.7083333333333333,0.671875,0.7604166666666666,,0.7291666666666666,0.7395833333333334,0.75,0.8229166666666666,0.78125,0.8437500000000001,0.6796875,0.7395833333333334,0.765625
JM,0.7187499999999999,0.6875,0.7708333333333333,0.8125,,0.7395833333333334,0.7708333333333333,0.7916666666666666,0.7890625,0.8125,0.6953125,0.7291666666666667,0.75
JR,0.7083333333333334,0.6796875,0.7916666666666666,0.78125,0.7291666666666667,,0.7708333333333334,0.8020833333333333,0.8125,0.8437499999999999,0.703125,0.7291666666666666,0.75
JS,0.7395833333333333,0.6875,0.8020833333333334,0.796875,0.71875,0.7604166666666667,,0.78125,0.7890625,0.84375,0.6796875,0.7083333333333333,0.7578125
ML,0.7187499999999999,0.671875,0.78125,0.796875,0.71875,0.7395833333333334,0.78125,,0.765625,0.84375,0.6796875,0.7291666666666666,0.75
NL,0.7083333333333333,0.6953125,0.7604166666666666,0.78125,0.71875,0.7395833333333334,0.7708333333333333,0.8020833333333334,,0.8229166666666666,0.6796875,0.7187500000000001,0.7578125
RK,0.7395833333333333,0.7109375,0.7708333333333333,0.78125,0.7291666666666666,0.7500000000000001,0.7604166666666666,0.8125,0.796875,,0.6953125,0.71875,0.75
SC,0.7291666666666666,0.65625,0.7812499999999999,0.796875,0.75,0.7291666666666666,0.75,0.78125,0.8046875,0.8229166666666667,,0.71875,0.765625
TP,0.7291666666666666,0.671875,0.7916666666666666,0.78125,0.7083333333333333,0.7187500000000001,0.7708333333333333,0.8020833333333333,0.796875,0.8333333333333335,0.703125,,0.75
YY,0.7395833333333333,0.6875,0.78125,0.78125,0.7291666666666667,0.75,0.7395833333333334,0.8020833333333334,0.8125,0.8125000000000001,0.6953125,0.7291666666666667,
