	AT	CC	CG	GD	JM	JR	JS	ML	NL	RK	SC	TP	YY
AT		1.0	0.8333333333333334	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CC	0.75		0.5625	0.8125	0.5625	1.0	0.8125	0.9375	0.9375	0.9375	1.0	0.875	0.875
CG	1.0	1.0		1.0	0.9166666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GD	0.875	1.0	0.75		0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
JM	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
JR	0.5	0.9166666666666666	0.4166666666666667	0.6666666666666666	0.4166666666666667		0.6666666666666666	0.9166666666666666	0.9166666666666666	0.75	0.9166666666666666	0.6666666666666666	0.6666666666666666
JS	0.8333333333333334	1.0	0.5	1.0	0.5	1.0		1.0	1.0	1.0	1.0	1.0	1.0
ML	0.9166666666666666	1.0	0.8333333333333334	0.9166666666666666	0.6666666666666666	1.0	0.9166666666666666		1.0	0.9166666666666666	1.0	0.9166666666666666	0.9166666666666666
NL	0.8125	1.0	0.875	0.8125	0.875	1.0	0.8125	1.0		0.875	1.0	0.875	0.875
RK	0.75	1.0	0.8333333333333334	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0		1.0	0.9166666666666666	0.9166666666666666
SC	0.9375	1.0	0.75	0.9375	0.6875	1.0	0.9375	0.9375	0.9375	0.9375		0.875	0.875
TP	0.9166666666666666	1.0	0.8333333333333334	0.9166666666666666	0.75	1.0	0.9166666666666666	1.0	1.0	1.0	1.0		1.0
YY	0.875	1.0	0.8125	0.9375	0.75	1.0	0.9375	1.0	1.0	1.0	1.0	1.0	
