,AT/CC,AT/CG,AT/GD,AT/JM,AT/JR,AT/JS,AT/ML,AT/NL,AT/RK,AT/SC,AT/TP,AT/YY,CC/CG,CC/GD,CC/JM,CC/JR,CC/JS,CC/ML,CC/NL,CC/RK,CC/SC,CC/TP,CC/YY,CG/GD,CG/JM,CG/JR,CG/JS,CG/ML,CG/NL,CG/RK,CG/SC,CG/TP,CG/YY,GD/JM,GD/JR,GD/JS,GD/ML,GD/NL,GD/RK,GD/SC,GD/TP,GD/YY,JM/JR,JM/JS,JM/ML,JM/NL,JM/RK,JM/SC,JM/TP,JM/YY,JR/JS,JR/ML,JR/NL,JR/RK,JR/SC,JR/TP,JR/YY,JS/ML,JS/NL,JS/RK,JS/SC,JS/TP,JS/YY,ML/NL,ML/RK,ML/SC,ML/TP,ML/YY,NL/RK,NL/SC,NL/TP,NL/YY,RK/SC,RK/TP,RK/YY,SC/TP,SC/YY,TP/YY
AT,,,,,,,,,,,,,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334,0.5,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.4166666666666667,0.5,0.5,0.5
CC,,0.4375,0.25,0.25,0.6875,0.4375,0.3125,0.5625,0.25,0.25,0.25,0.375,,,,,,,,,,,,0.5625,0.5,0.4375,0.5,0.25,0.5625,0.5625,0.4375,0.4375,0.25,0.25,0.5,0.5625,0.3125,0.5625,0.375,0.4375,0.4375,0.375,0.5625,0.5625,0.3125,0.5625,0.25,0.25,0.3125,0.5,0.5625,0.5625,0.5625,0.5,0.6875,0.6875,0.3125,0.5625,0.5625,0.4375,0.5625,0.5,0.5,0.5625,0.5625,0.4375,0.3125,0.375,0.5,0.5625,0.3125,0.5625,0.3125,0.3125,0.25,0.3125,0.4375,0.5
CG,0.5833333333333334,,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5,0.4166666666666667,0.5,0.5,0.5,0.5,,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.75,0.3333333333333333,0.5,0.6666666666666666,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.4166666666666667
GD,0.375,0.5,,0.5,0.375,0.5,0.25,0.5,0.5,0.25,0.625,0.5,0.5,,0.5,0.375,0.25,0.5,0.5,0.25,0.25,0.5,0.5,,0.5,0.5,0.25,0.5,0.625,0.5,0.5,0.5,0.5,,,,,,,,,,0.375,0.5,0.375,0.25,0.5,0.375,0.625,0.5,0.375,0.5,0.5,0.375,0.25,0.5,0.5,0.5,0.5,0.25,0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5,0.625,0.625,0.5,0.5,0.625,0.5,0.5,0.375,0.5
JM,0.4166666666666667,0.5833333333333334,0.5833333333333334,,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.5,,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5833333333333334,,0.4166666666666667,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8333333333333334,,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.4166666666666667,0.5833333333333334,0.6666666666666666,,,,,,,,,0.5,0.6666666666666666,0.5,0.5,0.4166666666666667,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666
JR,0.75,0.5833333333333334,0.25,0.3333333333333333,,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,0.4166666666666667,0.5833333333333334,0.5,0.3333333333333333,,0.75,0.25,0.25,0.25,0.6666666666666666,0.75,0.25,0.4166666666666667,0.4166666666666667,,0.5,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.6666666666666666,0.25,0.25,,0.5,0.25,0.4166666666666667,0.25,0.25,0.25,0.4166666666666667,,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,0.25,0.25,0.5,0.8333333333333334,0.5,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.25,0.25,0.25
JS,0.5,0.75,0.3333333333333333,0.5,0.5,,0.5,0.5833333333333334,0.5,0.25,0.5,0.25,0.5,0.5,0.5833333333333334,0.5,,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.4166666666666667,0.3333333333333333,0.5,0.5,,0.4166666666666667,0.5,0.5,0.3333333333333333,0.5,0.25,0.5833333333333334,,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,,0.5833333333333334,0.5,0.16666666666666666,0.75,0.5,0.5833333333333334,,,,,,,0.5,0.5,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.3333333333333333,0.5,0.5833333333333334,0.3333333333333333,0.5,0.5
ML,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.25,0.3333333333333333,,0.75,0.75,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.5,,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.25,0.5,,0.75,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5,,0.75,0.5833333333333334,0.5,0.6666666666666666,0.5,0.25,,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.25,0.5833333333333334,,0.75,0.5833333333333334,0.25,0.4166666666666667,0.6666666666666666,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.6666666666666666
NL,0.5,0.6875,0.375,0.4375,0.375,0.625,0.875,,0.5,0.5,0.4375,0.6875,0.25,0.5,0.375,0.1875,0.5,0.875,,0.4375,0.375,0.5,0.6875,0.5625,0.3125,0.125,0.5625,0.5625,,0.4375,0.25,0.5625,0.6875,0.3125,0.375,0.5,0.5625,,0.5625,0.4375,0.625,0.4375,0.3125,0.6875,0.875,,0.4375,0.1875,0.5625,0.6875,0.5,0.5,,0.5625,0.25,0.125,0.375,0.5,,0.5,0.5,0.6875,0.6875,,0.875,0.5,0.5625,0.6875,,,,,0.75,0.5625,0.6875,0.6875,0.4375,0.6875
RK,0.3333333333333333,0.5,0.4166666666666667,0.5833333333333334,0.25,0.5,0.5833333333333334,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333334,,0.5,0.5,0.5833333333333334,0.5,0.5833333333333334,0.4166666666666667,0.25,0.5833333333333334,0.6666666666666666,,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.6666666666666666,,0.5,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5,0.6666666666666666,0.5833333333333334,,0.5833333333333334,0.5,0.5833333333333334,0.3333333333333333,0.5,0.5833333333333334,,0.25,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.5833333333333334,,0.6666666666666666,0.6666666666666666,0.5833333333333334,,,,0.6666666666666666,0.5833333333333334,0.5
