,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.625,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.6875,0.9166666666666666,0.6875
CC,0.8333333333333334,,0.8333333333333334,1.0,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8125,0.75,0.75,0.9166666666666666,0.6875
CG,1.0,0.75,,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.6875,0.9166666666666666,0.6875
GD,1.0,0.75,0.9166666666666666,,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.6875,0.8333333333333334,0.75
JM,1.0,0.625,0.9166666666666666,0.875,,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.6875,0.8333333333333334,0.6875
JR,1.0,0.6875,0.9166666666666666,0.875,0.8333333333333334,,0.75,0.8333333333333334,0.875,0.75,0.75,0.9166666666666666,0.6875
JS,1.0,0.8125,0.8333333333333334,0.875,0.75,0.8333333333333334,,0.8333333333333334,0.75,0.75,0.75,0.8333333333333334,0.6875
ML,0.8333333333333334,0.6875,0.9166666666666666,0.875,0.75,0.8333333333333334,0.75,,0.8125,0.75,0.75,0.9166666666666666,0.6875
NL,1.0,0.75,0.9166666666666666,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,,0.75,0.8125,0.9166666666666666,0.6875
RK,0.9166666666666666,0.8125,0.8333333333333334,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8125,,0.8125,0.8333333333333334,0.6875
SC,0.9166666666666666,0.6875,0.8333333333333334,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,,0.8333333333333334,0.75
TP,1.0,0.625,0.8333333333333334,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,0.6875,0.75,0.75,,0.6875
YY,1.0,0.6875,0.9166666666666666,0.875,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8125,0.6666666666666666,0.75,1.0,
