,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5104166666666667,0.6145833333333334,0.6145833333333334,0.59375,0.5104166666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333333,0.59375,0.65625,0.5833333333333333
CC,0.46875,,0.5078125,0.46875,0.46875,0.5,0.5,0.4921875,0.5078125,0.53125,0.4609375,0.453125,0.515625
CG,0.6041666666666667,0.6354166666666667,,0.5520833333333334,0.6458333333333333,0.40625000000000006,0.65625,0.6354166666666666,0.6041666666666666,0.59375,0.5520833333333334,0.5625,0.6770833333333333
GD,0.5625,0.609375,0.578125,,0.625,0.46875,0.578125,0.671875,0.65625,0.640625,0.640625,0.59375,0.59375
JM,0.5520833333333334,0.5625,0.5937500000000001,0.5625,,0.46875,0.5729166666666666,0.5520833333333334,0.5729166666666666,0.59375,0.5208333333333333,0.5416666666666667,0.5729166666666667
JR,0.36458333333333337,0.48958333333333326,0.4375,0.3125,0.43750000000000006,,0.4166666666666667,0.41666666666666663,0.28125,0.42708333333333337,0.5,0.4270833333333333,0.46875
JS,0.5520833333333333,0.5625,0.5729166666666666,0.5416666666666666,0.6041666666666667,0.4791666666666667,,0.6354166666666667,0.5937500000000001,0.59375,0.5416666666666667,0.5625,0.5833333333333334
ML,0.6354166666666667,0.5520833333333334,0.5520833333333333,0.65625,0.6770833333333334,0.36458333333333337,0.6354166666666666,,0.6979166666666666,0.6458333333333334,0.6145833333333333,0.5729166666666666,0.59375
NL,0.5703125,0.546875,0.5625,0.6171875,0.65625,0.3203125,0.65625,0.65625,,0.578125,0.515625,0.625,0.6171875
RK,0.5729166666666667,0.5416666666666667,0.5625,0.6145833333333334,0.6458333333333334,0.375,0.59375,0.5833333333333333,0.6145833333333333,,0.5833333333333333,0.5208333333333334,0.5416666666666667
SC,0.5546875,0.5234375,0.484375,0.5390625,0.46875,0.5,0.4765625,0.5546875,0.5078125,0.5546875,,0.5390625,0.4609375
TP,0.5520833333333334,0.5416666666666667,0.5208333333333333,0.53125,0.5208333333333334,0.5520833333333334,0.5520833333333333,0.53125,0.53125,0.53125,0.46875000000000006,,0.5416666666666667
YY,0.5546875,0.5859375,0.65625,0.5546875,0.5859375,0.4609375,0.6015625,0.5625,0.5859375,0.6171875,0.5,0.59375,
