,CC,GD,JM,JS,NL,RK,SC,YY
0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.75
1,1.0,1.0,0.75,0.5,1.0,0.5,0.25,1.0
2,1.0,0.25,0.5,1.0,0.75,0.75,0.75,1.0
3,1.0,0.25,0.25,0.75,1.0,0.75,0.75,1.0
4,1.0,0.75,0.25,0.75,1.0,0.75,0.75,0.75
5,1.0,0.75,1.0,0.5,0.75,0.75,0.75,0.75
6,0.5,0.5,0.5,1.0,0.75,0.5,0.75,1.0
7,0.75,0.5,0.75,0.75,0.75,1.0,0.5,0.5
8,1.0,0.75,0.5,0.75,0.75,1.0,0.75,1.0
9,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.75
10,1.0,1.0,0.25,0.75,0.5,1.0,1.0,0.75
11,0.75,1.0,0.75,0.5,0.5,1.0,0.25,0.75
12,0.5,0.5,0.75,0.75,0.5,1.0,0.5,1.0
13,1.0,1.0,0.75,0.5,0.5,1.0,1.0,1.0
14,0.75,0.75,0.75,1.0,0.25,1.0,0.5,1.0
15,0.75,0.5,1.0,0.5,1.0,0.75,0.75,1.0
16,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0
17,0.5,0.5,0.5,0.5,0.75,1.0,1.0,1.0
18,0.75,0.75,0.75,0.5,0.75,1.0,0.25,1.0
19,0.5,0.75,0.75,1.0,0.75,0.5,1.0,0.5
20,0.5,0.75,0.5,1.0,1.0,0.5,0.75,1.0
21,1.0,1.0,0.5,0.5,0.25,1.0,1.0,1.0
22,1.0,1.0,1.0,0.75,1.0,0.75,0.5,1.0
23,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.75
24,0.5,1.0,0.5,0.5,0.75,1.0,0.75,1.0
25,0.5,0.75,1.0,0.75,0.75,1.0,0.75,1.0
26,0.75,0.25,0.25,0.75,0.25,1.0,0.5,0.75
27,0.75,1.0,0.75,0.75,1.0,0.75,0.75,1.0
28,0.75,0.25,0.5,1.0,1.0,0.75,0.75,0.5
29,1.0,1.0,0.75,0.75,0.75,1.0,0.5,1.0
30,0.75,0.5,0.25,0.75,1.0,1.0,0.5,1.0
31,1.0,1.0,1.0,0.5,0.5,0.75,0.5,1.0
32,1.0,1.0,0.75,0.5,1.0,0.5,0.75,1.0
33,0.75,1.0,0.5,0.5,0.25,0.75,0.75,1.0
34,0.75,1.0,0.25,1.0,0.25,1.0,0.75,0.75
35,1.0,1.0,0.75,1.0,0.5,1.0,0.5,0.5
36,1.0,0.75,0.75,0.5,0.5,1.0,0.75,0.5
37,1.0,1.0,0.75,0.75,1.0,0.75,0.5,0.75
38,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.5
39,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0
40,0.5,0.5,0.5,0.5,0.75,0.75,1.0,1.0
41,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75
42,0.75,1.0,0.5,0.5,1.0,1.0,0.75,1.0
43,0.5,0.75,0.5,0.5,1.0,1.0,0.25,1.0
44,1.0,1.0,0.75,0.75,0.5,0.75,0.75,0.75
45,0.75,0.75,0.5,0.5,0.5,1.0,0.5,0.5
46,1.0,0.75,0.5,0.75,0.5,1.0,0.5,1.0
47,1.0,0.75,0.5,0.75,0.75,0.75,0.75,1.0
48,0.5,0.75,1.0,1.0,1.0,0.5,1.0,0.75
49,1.0,0.75,0.75,0.75,1.0,1.0,0.75,1.0
50,1.0,0.25,0.5,0.75,0.75,0.75,0.25,0.5
51,1.0,0.75,0.25,1.0,1.0,1.0,0.75,0.75
52,1.0,1.0,0.25,0.25,0.75,0.5,0.75,1.0
53,0.75,0.75,1.0,1.0,1.0,0.75,0.0,0.75
54,0.75,0.75,0.75,0.75,1.0,1.0,0.75,1.0
55,0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0
56,1.0,0.75,0.5,0.5,0.75,0.5,0.75,0.5
57,0.5,0.75,1.0,0.75,0.75,1.0,0.75,1.0
58,1.0,1.0,0.75,0.5,1.0,1.0,0.75,0.75
59,1.0,0.75,1.0,1.0,0.75,0.75,0.75,1.0
60,0.75,0.75,1.0,0.75,1.0,1.0,0.5,0.75
61,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0
62,0.75,0.75,0.5,0.75,0.25,1.0,0.5,0.75
63,0.5,0.75,0.75,0.75,0.75,0.75,0.5,1.0
64,0.75,0.75,1.0,1.0,0.75,0.5,1.0,0.75
65,1.0,1.0,0.5,0.75,0.75,0.75,0.75,0.5
66,0.5,1.0,1.0,0.75,0.5,1.0,0.25,0.75
67,0.75,0.75,1.0,0.75,1.0,0.75,0.5,0.75
68,0.5,1.0,0.75,0.5,0.75,1.0,1.0,0.75
69,1.0,0.75,0.5,0.75,0.5,1.0,0.75,1.0
70,1.0,0.75,1.0,0.75,1.0,0.75,0.5,0.5
71,0.75,1.0,1.0,0.5,1.0,0.75,0.5,1.0
72,1.0,1.0,0.25,0.5,0.5,0.75,1.0,1.0
73,1.0,0.75,0.75,0.5,0.25,1.0,0.75,0.75
74,1.0,0.75,0.75,0.75,0.75,0.5,0.75,1.0
75,0.75,0.5,0.75,0.75,0.5,0.5,0.75,1.0
76,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.75
