,CC,GD,JM,JS,NL,RK,SC,YY
0,1.0,1.0,0.75,0.25,1.0,0.5,0.75,1.0
1,1.0,1.0,0.75,0.5,0.25,0.5,0.75,1.0
2,0.5,0.5,0.75,0.5,0.75,1.0,0.75,1.0
3,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5
4,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75
5,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0
6,0.5,1.0,1.0,0.25,0.5,0.75,0.75,0.75
7,1.0,1.0,0.75,0.25,0.5,0.75,0.5,1.0
8,0.5,0.25,0.75,0.5,0.75,0.75,1.0,1.0
9,0.5,1.0,0.75,0.25,0.75,0.5,1.0,0.75
10,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0
11,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0
12,0.25,1.0,0.75,0.25,0.25,0.75,0.5,0.75
13,0.25,0.75,0.5,0.75,0.75,0.75,1.0,1.0
14,0.75,1.0,0.75,1.0,0.5,0.75,1.0,1.0
15,1.0,0.5,1.0,1.0,0.25,0.75,0.75,0.5
16,1.0,0.25,0.5,0.5,0.5,0.5,0.75,1.0
17,0.75,1.0,0.75,0.75,0.75,1.0,0.5,1.0
18,0.5,1.0,0.75,0.5,0.25,1.0,0.75,1.0
19,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0
20,1.0,1.0,0.25,0.5,1.0,0.5,0.5,1.0
21,0.0,0.75,1.0,0.75,1.0,0.5,0.75,1.0
22,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.75
23,0.75,0.75,1.0,0.75,1.0,0.5,0.75,1.0
24,1.0,1.0,1.0,0.5,1.0,0.75,0.5,1.0
25,0.75,1.0,0.5,0.5,0.75,0.25,0.25,1.0
26,0.25,1.0,0.25,0.5,0.5,1.0,0.75,0.75
27,0.75,0.75,0.75,0.25,0.5,0.25,1.0,1.0
28,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75
29,1.0,0.75,1.0,0.5,1.0,1.0,0.5,1.0
30,1.0,0.75,1.0,1.0,0.75,1.0,0.5,0.75
31,1.0,1.0,0.75,0.5,0.25,1.0,0.25,1.0
32,0.75,0.75,0.25,0.5,1.0,0.5,0.5,1.0
33,1.0,0.75,0.5,0.5,1.0,0.5,0.75,1.0
34,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0
35,0.75,0.75,0.5,0.75,0.75,1.0,0.25,1.0
36,1.0,1.0,0.5,0.5,0.75,0.75,1.0,1.0
37,0.5,1.0,0.25,0.75,0.25,0.5,1.0,1.0
38,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.75
39,1.0,1.0,0.75,1.0,0.5,0.75,0.5,1.0
40,1.0,0.75,0.5,0.5,0.75,0.5,0.75,1.0
41,1.0,0.75,0.75,0.75,0.5,1.0,0.25,1.0
42,1.0,1.0,0.5,0.75,0.5,0.75,1.0,0.75
43,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.75
44,0.75,0.5,0.25,1.0,0.75,0.75,0.75,0.75
45,0.5,0.5,1.0,0.25,0.75,0.75,0.5,1.0
46,1.0,1.0,0.75,0.75,0.5,0.5,1.0,1.0
47,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0
48,1.0,1.0,0.5,0.0,0.75,0.5,0.75,1.0
49,0.75,1.0,0.25,0.25,0.75,0.75,0.75,1.0
50,1.0,0.5,0.75,0.5,1.0,0.0,0.75,1.0
51,1.0,1.0,0.5,0.75,0.75,0.75,0.75,1.0
52,0.75,1.0,0.5,0.75,0.5,0.75,1.0,1.0
53,1.0,0.5,0.75,0.5,0.25,1.0,0.75,1.0
54,0.75,1.0,0.75,0.5,0.25,1.0,1.0,0.5
55,1.0,1.0,0.25,0.25,0.75,1.0,1.0,1.0
56,0.75,0.75,1.0,1.0,0.75,0.75,0.5,1.0
57,0.75,1.0,0.5,1.0,0.75,0.5,0.75,1.0
58,1.0,0.5,0.75,0.75,0.75,0.5,0.75,1.0
59,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0
60,0.25,1.0,1.0,0.5,1.0,0.75,1.0,0.5
61,0.5,0.75,0.75,0.75,0.5,0.75,0.75,1.0
62,0.5,1.0,0.5,0.75,0.75,0.75,0.75,0.75
63,1.0,1.0,0.5,0.5,0.75,1.0,1.0,1.0
64,0.75,1.0,1.0,0.5,1.0,0.5,1.0,1.0
