,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5104166666666666,0.5416666666666666,0.6041666666666666,0.5729166666666666,0.4791666666666667,0.5729166666666667,0.5833333333333334,0.5625,0.5625,0.5208333333333334,0.5520833333333334,0.5729166666666667
CC,0.5,,0.5625,0.453125,0.5078125,0.515625,0.546875,0.484375,0.5078125,0.4921875,0.46875,0.46875,0.546875
CG,0.6458333333333333,0.6458333333333334,,0.6145833333333333,0.6458333333333333,0.4479166666666667,0.59375,0.6145833333333334,0.6145833333333333,0.6041666666666666,0.5208333333333334,0.5208333333333334,0.625
GD,0.59375,0.53125,0.59375,,0.640625,0.40625,0.546875,0.625,0.640625,0.59375,0.609375,0.59375,0.578125
JM,0.53125,0.5833333333333334,0.5729166666666666,0.59375,,0.44791666666666674,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5104166666666666,0.48958333333333337,0.6145833333333333
JR,0.4479166666666667,0.5,0.4479166666666667,0.3541666666666667,0.375,,0.4375,0.375,0.28125,0.4375,0.48958333333333326,0.4583333333333333,0.45833333333333337
JS,0.6354166666666667,0.5625,0.59375,0.5416666666666666,0.6458333333333334,0.5416666666666666,,0.5729166666666666,0.5520833333333334,0.5833333333333333,0.5208333333333333,0.5625,0.6145833333333334
ML,0.6354166666666667,0.6041666666666666,0.6249999999999999,0.6979166666666666,0.6979166666666667,0.40625,0.6666666666666666,,0.6875,0.6458333333333334,0.59375,0.5729166666666666,0.5520833333333333
NL,0.625,0.609375,0.6328125,0.640625,0.6640625,0.28125,0.671875,0.65625,,0.5625,0.59375,0.59375,0.6484375
RK,0.5520833333333333,0.5520833333333333,0.5520833333333334,0.6979166666666666,0.6458333333333334,0.40625,0.6250000000000001,0.6562499999999999,0.6354166666666666,,0.5520833333333334,0.5104166666666667,0.5520833333333334
SC,0.5078125,0.5,0.453125,0.5390625,0.484375,0.484375,0.4609375,0.5390625,0.5,0.5390625,,0.5546875,0.46875
TP,0.53125,0.5208333333333334,0.4791666666666667,0.5520833333333333,0.5104166666666667,0.5208333333333333,0.5104166666666667,0.5625,0.4791666666666667,0.5208333333333334,0.4375,,0.53125
YY,0.640625,0.546875,0.5703125,0.5703125,0.5859375,0.4765625,0.6171875,0.59375,0.5625,0.5625,0.5078125,0.5078125,
