,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5625,0.75,0.875,0.75,0.6666666666666666,0.75,0.75,0.8125,0.9166666666666666,0.6875,0.5833333333333334,0.75
CC,0.8333333333333334,,0.75,0.875,0.75,0.6666666666666666,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.6875,0.6666666666666666,0.6875
CG,0.8333333333333334,0.5625,,0.875,0.75,0.6666666666666666,0.75,0.75,0.8125,0.9166666666666666,0.75,0.5833333333333334,0.6875
GD,0.9166666666666666,0.5625,0.75,,0.75,0.6666666666666666,0.8333333333333334,0.75,0.8125,0.9166666666666666,0.8125,0.5833333333333334,0.75
JM,0.8333333333333334,0.5625,0.8333333333333334,0.875,,0.6666666666666666,0.9166666666666666,0.75,0.8125,0.9166666666666666,0.75,0.5833333333333334,0.75
JR,0.75,0.5625,0.8333333333333334,0.875,0.75,,0.75,0.8333333333333334,0.8125,0.8333333333333334,0.8125,0.6666666666666666,0.75
JS,0.75,0.5625,0.8333333333333334,0.875,0.75,0.6666666666666666,,0.75,0.8125,0.9166666666666666,0.6875,0.5833333333333334,0.6875
ML,0.75,0.625,0.8333333333333334,0.875,0.75,0.6666666666666666,0.75,,0.8125,0.8333333333333334,0.75,0.5833333333333334,0.75
NL,0.8333333333333334,0.5625,0.75,0.875,0.75,0.75,0.8333333333333334,0.75,,0.9166666666666666,0.8125,0.5833333333333334,0.75
RK,0.8333333333333334,0.5625,0.8333333333333334,0.875,0.75,0.75,0.9166666666666666,0.75,0.8125,,0.75,0.5833333333333334,0.6875
SC,0.8333333333333334,0.5625,0.75,0.875,0.75,0.6666666666666666,0.75,0.75,0.8125,0.8333333333333334,,0.5833333333333334,0.6875
TP,0.8333333333333334,0.5625,0.8333333333333334,0.875,0.75,0.75,0.75,0.75,0.8125,0.8333333333333334,0.75,,0.75
YY,0.75,0.5625,0.8333333333333334,0.875,0.75,0.75,0.8333333333333334,0.75,0.8125,0.9166666666666666,0.75,0.5833333333333334,
