,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5625000000000001,0.6006944444444444,0.5451388888888888,0.5451388888888888,0.576388888888889,0.4583333333333333,0.5868055555555555,0.5833333333333334,0.5277777777777778,0.6215277777777778
CC,0.5260416666666666,,0.49826388888888884,0.5138888888888888,0.5121527777777778,0.515625,0.4826388888888889,0.5052083333333334,0.47743055555555564,0.5312499999999999,0.5086805555555555
GD,0.5608974358974359,0.516025641025641,,0.5096153846153847,0.5240384615384616,0.5272435897435896,0.5192307692307692,0.5528846153846153,0.516025641025641,0.4887820512820513,0.5096153846153846
JM,0.4444444444444444,0.5208333333333334,0.47222222222222227,,0.47222222222222215,0.4583333333333334,0.4791666666666667,0.513888888888889,0.5208333333333334,0.5208333333333333,0.5555555555555557
JR,0.5291666666666667,0.5083333333333334,0.5020833333333333,0.4708333333333334,,0.5791666666666667,0.53125,0.5333333333333333,0.49374999999999997,0.5104166666666667,0.50625
JS,0.5486111111111112,0.548611111111111,0.5069444444444445,0.4861111111111111,0.513888888888889,,0.47222222222222227,0.5486111111111112,0.5416666666666666,0.5208333333333334,0.5347222222222222
ML,0.46041666666666664,0.5020833333333334,0.50625,0.4958333333333334,0.5083333333333334,0.5041666666666667,,0.4750000000000001,0.4895833333333333,0.5291666666666667,0.48958333333333326
NL,0.5625,0.5509259259259259,0.5486111111111113,0.523148148148148,0.5254629629629629,0.5787037037037037,0.5069444444444444,,0.5462962962962964,0.5092592592592593,0.537037037037037
RK,0.5111111111111112,0.5055555555555555,0.5027777777777778,0.5,0.46388888888888896,0.5305555555555556,0.4958333333333334,0.5138888888888888,,0.5013888888888889,0.49444444444444446
SC,0.4930555555555556,0.501736111111111,0.5121527777777777,0.5121527777777777,0.5190972222222222,0.5034722222222222,0.4930555555555556,0.5104166666666666,0.4913194444444445,,0.5208333333333334
YY,0.5677083333333331,0.5329861111111112,0.5190972222222222,0.5086805555555555,0.532986111111111,0.5347222222222222,0.49826388888888884,0.5138888888888888,0.49131944444444436,0.5399305555555556,
