,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.5833333333333334,0.5961538461538461,0.6666666666666666,0.65,0.8333333333333334,0.65,0.6666666666666666,0.5666666666666667,0.5833333333333334,0.6041666666666666
CC,0.5833333333333334,,0.6153846153846154,0.5833333333333334,0.7,0.8333333333333334,0.6,0.6388888888888888,0.5666666666666667,0.6041666666666666,0.6041666666666666
GD,0.625,0.5833333333333334,,0.6666666666666666,0.75,0.8333333333333334,0.625,0.6388888888888888,0.5833333333333334,0.5625,0.5833333333333334
JM,0.625,0.6041666666666666,0.5961538461538461,,0.65,0.75,0.625,0.6111111111111112,0.55,0.6041666666666666,0.6041666666666666
JR,0.625,0.6458333333333334,0.5961538461538461,0.5833333333333334,,0.8333333333333334,0.6,0.6111111111111112,0.55,0.6041666666666666,0.5625
JS,0.5833333333333334,0.6041666666666666,0.5961538461538461,0.5833333333333334,0.65,,0.625,0.6388888888888888,0.55,0.5833333333333334,0.6041666666666666
ML,0.625,0.625,0.6153846153846154,0.5833333333333334,0.675,0.8333333333333334,,0.6388888888888888,0.5833333333333334,0.6041666666666666,0.6041666666666666
NL,0.5833333333333334,0.6041666666666666,0.5961538461538461,0.75,0.675,0.75,0.65,,0.55,0.5833333333333334,0.5625
RK,0.5833333333333334,0.5416666666666666,0.6346153846153846,0.75,0.725,0.8333333333333334,0.65,0.6388888888888888,,0.5833333333333334,0.625
SC,0.625,0.6041666666666666,0.5769230769230769,0.75,0.675,0.75,0.725,0.6111111111111112,0.5666666666666667,,0.6041666666666666
YY,0.625,0.625,0.5769230769230769,0.6666666666666666,0.725,0.8333333333333334,0.625,0.5833333333333334,0.6,0.6041666666666666,
