,AT,CC,GD,JM,JR,JS,ML,NL,RK,SC,YY
AT,,0.6666666666666666,0.375,0.6666666666666666,0.5,0.5416666666666666,0.4166666666666667,0.5833333333333334,0.5,0.5,0.4583333333333333
CC,0.5208333333333334,,0.5,0.4583333333333333,0.4791666666666667,0.5,0.5208333333333334,0.4791666666666667,0.4166666666666667,0.5208333333333334,0.5208333333333334
GD,0.6153846153846154,0.5192307692307693,,0.6538461538461539,0.5192307692307693,0.5576923076923077,0.5961538461538461,0.6346153846153846,0.5769230769230769,0.5192307692307693,0.4807692307692308
JM,0.3333333333333333,0.5,0.5,,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.4166666666666667
JR,0.5,0.525,0.425,0.45,,0.5,0.425,0.525,0.475,0.45,0.475
JS,0.5,0.5,0.4166666666666667,0.6666666666666666,0.5,,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5
ML,0.425,0.5,0.575,0.5,0.45,0.5,,0.575,0.475,0.55,0.55
NL,0.5,0.5833333333333334,0.3888888888888889,0.5555555555555556,0.5833333333333334,0.4444444444444444,0.5,,0.6111111111111112,0.5277777777777778,0.5
RK,0.48333333333333334,0.4,0.4666666666666667,0.5166666666666667,0.4,0.4166666666666667,0.38333333333333336,0.5666666666666667,,0.4166666666666667,0.4666666666666667
SC,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.5,0.5208333333333334,,0.4791666666666667
YY,0.5208333333333334,0.3958333333333333,0.3958333333333333,0.4583333333333333,0.4375,0.3958333333333333,0.3125,0.4375,0.4375,0.4166666666666667,
