,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5277777777777778,0.4479166666666666,0.6215277777777778,0.4618055555555555,0.5694444444444443,0.4826388888888889,0.46527777777777773,0.5590277777777778,0.5590277777777778,0.4548611111111111,0.4861111111111111,0.579861111111111
CC,0.501736111111111,,0.484375,0.4913194444444445,0.5,0.49652777777777785,0.5104166666666667,0.513888888888889,0.48784722222222227,0.5069444444444443,0.5156250000000001,0.5138888888888888,0.484375
CG,,,,,,,,,,,,,
GD,0.5689102564102564,0.49519230769230765,0.47916666666666674,,0.4423076923076923,0.5160256410256411,0.4663461538461539,0.5048076923076922,0.548076923076923,0.5016025641025642,0.4631410256410256,0.5,0.5400641025641026
JM,0.4375,0.5069444444444444,0.5138888888888888,0.4930555555555556,,0.4444444444444444,0.4513888888888889,0.48611111111111116,0.45138888888888884,0.5347222222222222,0.4305555555555555,0.5416666666666666,0.423611111111111
JR,0.5395833333333334,0.5145833333333334,0.4749999999999999,0.5604166666666667,0.4791666666666667,,0.4875,0.48124999999999996,0.5458333333333333,0.5208333333333334,0.48958333333333326,0.5000000000000001,0.5270833333333333
JS,0.5694444444444443,0.5277777777777778,0.5347222222222222,0.5625,0.47222222222222227,0.5416666666666667,,0.4444444444444444,0.4930555555555555,0.5069444444444445,0.5833333333333333,0.5138888888888888,0.47222222222222227
ML,0.48125,0.50625,0.4770833333333333,0.48958333333333326,0.48750000000000004,0.46875,0.47500000000000003,,0.49999999999999994,0.48333333333333334,0.48750000000000004,0.50625,0.48333333333333334
NL,0.5208333333333333,0.4884259259259259,0.4722222222222223,0.5347222222222221,0.47685185185185186,0.5185185185185185,0.49074074074074076,0.47222222222222227,,0.4930555555555555,0.4791666666666667,0.5046296296296297,0.4930555555555555
RK,0.5166666666666666,0.4916666666666667,0.476388888888889,0.5111111111111111,0.5041666666666668,0.49722222222222223,0.48888888888888893,0.4763888888888889,0.48055555555555557,,0.4861111111111111,0.5097222222222222,0.5125000000000001
SC,0.48437500000000006,0.5052083333333334,0.486111111111111,0.4895833333333333,0.4861111111111111,0.5034722222222222,0.5086805555555556,0.4982638888888889,0.49999999999999994,0.48784722222222227,,0.46875000000000006,0.4739583333333333
TP,,,,,,,,,,,,,
YY,0.545138888888889,0.4791666666666667,0.4652777777777779,0.5277777777777778,0.47569444444444436,0.532986111111111,0.47222222222222215,0.4704861111111111,0.501736111111111,0.5086805555555556,0.48784722222222227,0.49652777777777785,
