,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5347222222222222,0.5277777777777778,0.5833333333333334,0.5138888888888888,0.5416666666666667,0.5416666666666666,0.5277777777777777,0.5416666666666666,0.5902777777777777,0.5555555555555556,0.5555555555555555,0.576388888888889
CC,0.4427083333333333,,0.515625,0.4375,0.5677083333333334,0.5104166666666666,0.5416666666666666,0.53125,0.4375,0.46875,0.5208333333333334,0.515625,0.4583333333333333
CG,0.4791666666666666,0.5486111111111112,,0.40277777777777773,0.548611111111111,0.5069444444444444,0.6319444444444443,0.5624999999999999,0.5625000000000001,0.49999999999999994,0.5763888888888887,0.5624999999999999,0.5208333333333334
GD,0.5729166666666666,0.4791666666666667,0.46875,,0.4583333333333333,0.46875,0.4895833333333333,0.4895833333333333,0.5729166666666666,0.4791666666666667,0.5416666666666666,0.53125,0.5520833333333334
JM,0.4305555555555556,0.5416666666666666,0.5624999999999999,0.47222222222222215,,0.5277777777777778,0.5624999999999999,0.5277777777777778,0.5347222222222222,0.5555555555555556,0.5347222222222222,0.5277777777777777,0.46527777777777773
JR,0.4791666666666667,0.5,0.5138888888888888,0.47222222222222227,0.5277777777777778,,0.5138888888888887,0.5416666666666666,0.5555555555555556,0.5416666666666666,0.5138888888888888,0.5486111111111112,0.5069444444444444
JS,0.40277777777777785,0.5416666666666666,0.5625,0.3541666666666667,0.5833333333333334,0.43055555555555564,,0.47916666666666674,0.5416666666666666,0.45833333333333326,0.5555555555555556,0.5625,0.3680555555555555
ML,0.4791666666666666,0.5208333333333334,0.46527777777777773,0.513888888888889,0.5069444444444445,0.47222222222222215,0.5347222222222222,,0.4861111111111111,0.5069444444444444,0.47222222222222215,0.5138888888888888,0.4513888888888889
NL,0.5052083333333334,0.5208333333333334,0.5104166666666666,0.4947916666666667,0.53125,0.5416666666666666,0.546875,0.5885416666666666,,0.5364583333333334,0.515625,0.5729166666666666,0.5260416666666666
RK,0.6180555555555556,0.6319444444444443,0.5277777777777778,0.5486111111111112,0.548611111111111,0.5972222222222222,0.4861111111111111,0.5625,0.548611111111111,,0.5694444444444445,0.5694444444444443,0.576388888888889
SC,0.5729166666666666,0.53125,0.546875,0.59375,0.5364583333333334,0.5677083333333334,0.5572916666666666,0.5520833333333334,0.5572916666666666,0.5625,,0.5572916666666666,0.5833333333333334
TP,0.4930555555555556,0.5208333333333334,0.5208333333333334,0.4583333333333333,0.5347222222222222,0.47916666666666674,0.4583333333333333,0.4861111111111111,0.5069444444444444,0.5555555555555556,0.47916666666666674,,0.4861111111111111
YY,0.546875,0.53125,0.5260416666666666,0.5104166666666666,0.546875,0.5,0.53125,0.5208333333333334,0.53125,0.5052083333333334,0.515625,0.515625,
