,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.578125,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.5769230769230769,0.7083333333333334,0.5961538461538461,0.6153846153846154,0.5833333333333334,0.5625,0.75,0.640625
CC,0.6666666666666666,,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5961538461538461,0.7083333333333334,0.5961538461538461,0.5961538461538461,0.5694444444444444,0.578125,0.75,0.65625
CG,0.6666666666666666,0.5625,,0.65,0.625,0.5769230769230769,0.7083333333333334,0.5961538461538461,0.5769230769230769,0.5833333333333334,0.5625,0.75,0.609375
GD,0.6666666666666666,0.578125,0.75,,0.7083333333333334,0.5576923076923077,0.7083333333333334,0.5769230769230769,0.6153846153846154,0.5694444444444444,0.5625,0.6666666666666666,0.59375
JM,0.6944444444444444,0.578125,0.75,0.65,,0.5576923076923077,0.7083333333333334,0.5576923076923077,0.5769230769230769,0.5694444444444444,0.5625,0.75,0.59375
JR,0.6666666666666666,0.578125,0.75,0.65,0.5833333333333334,,0.7083333333333334,0.5769230769230769,0.5769230769230769,0.5833333333333334,0.5625,0.75,0.59375
JS,0.6944444444444444,0.546875,0.75,0.65,0.6666666666666666,0.5769230769230769,,0.5576923076923077,0.5961538461538461,0.5694444444444444,0.5625,0.75,0.609375
ML,0.7222222222222222,0.5625,0.75,0.65,0.625,0.5769230769230769,0.7083333333333334,,0.5961538461538461,0.5833333333333334,0.578125,0.75,0.59375
NL,0.6944444444444444,0.578125,0.6666666666666666,0.65,0.7083333333333334,0.5769230769230769,0.7083333333333334,0.6153846153846154,,0.5833333333333334,0.5625,0.75,0.609375
RK,0.6666666666666666,0.5625,0.8333333333333334,0.65,0.7083333333333334,0.5769230769230769,0.7083333333333334,0.5769230769230769,0.6153846153846154,,0.5625,0.6666666666666666,0.59375
SC,0.6666666666666666,0.578125,0.75,0.6666666666666666,0.7083333333333334,0.5576923076923077,0.7083333333333334,0.6153846153846154,0.5576923076923077,0.5694444444444444,,0.8333333333333334,0.609375
TP,0.6944444444444444,0.578125,0.75,0.6666666666666666,0.625,0.5576923076923077,0.7083333333333334,0.6153846153846154,0.5769230769230769,0.5555555555555556,0.5625,,0.625
YY,0.7222222222222222,0.5625,0.8333333333333334,0.65,0.625,0.5769230769230769,0.7083333333333334,0.5961538461538461,0.6346153846153846,0.5833333333333334,0.5625,0.6666666666666666,
