,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.375,0.2916666666666667,0.6666666666666666,0.7083333333333334,0.5833333333333334,0.3333333333333333,0.375,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.5,0.6666666666666666
CC,0.4791666666666667,,0.5208333333333334,0.5,0.5208333333333334,0.5,0.5625,0.6041666666666666,0.4583333333333333,0.5208333333333334,0.5208333333333334,0.5833333333333334,0.4791666666666667
CG,,,,,,,,,,,,,
GD,0.4807692307692308,0.5192307692307693,0.5192307692307693,,0.4423076923076923,0.6153846153846154,0.46153846153846156,0.5,0.5192307692307693,0.5576923076923077,0.5,0.5192307692307693,0.6538461538461539
JM,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,,0.5,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.5
JR,0.5,0.425,0.4,0.55,0.475,,0.425,0.425,0.575,0.45,0.425,0.5,0.575
JS,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.5833333333333334,0.5,,0.5,0.4166666666666667,0.5,0.5833333333333334,0.5,0.5
ML,0.55,0.675,0.55,0.55,0.45,0.5,0.45,,0.575,0.5,0.475,0.5,0.625
NL,0.4722222222222222,0.5,0.5,0.5833333333333334,0.4444444444444444,0.4722222222222222,0.5277777777777778,0.5277777777777778,,0.4722222222222222,0.4722222222222222,0.5,0.4444444444444444
RK,0.5,0.48333333333333334,0.5,0.5,0.55,0.45,0.45,0.5166666666666667,0.45,,0.5666666666666667,0.6,0.4666666666666667
SC,0.5,0.5,0.4791666666666667,0.5,0.4375,0.4583333333333333,0.4583333333333333,0.5,0.4375,0.5208333333333334,,0.4166666666666667,0.5
TP,,,,,,,,,,,,,
YY,0.6666666666666666,0.4583333333333333,0.5208333333333334,0.5,0.4375,0.6458333333333334,0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5,0.5416666666666666,0.5,
