,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,,,,,,,,,,,,
CC,0.515625,,0.5,0.5260416666666666,0.5364583333333334,0.5208333333333334,0.5,0.5104166666666666,0.5052083333333334,0.4947916666666667,0.5,0.5052083333333334,0.4479166666666667
CG,,,,,,,,,,,,,
GD,0.5347222222222222,0.5347222222222222,0.5416666666666666,,0.4930555555555555,0.5000000000000001,0.46527777777777773,0.5208333333333334,0.5347222222222222,0.5416666666666666,0.4930555555555556,0.5,0.4305555555555555
JM,0.49999999999999994,0.4930555555555555,0.46527777777777785,0.4791666666666667,,0.5208333333333334,0.4791666666666667,0.4513888888888889,0.48611111111111116,0.5208333333333334,0.47222222222222227,0.513888888888889,0.48611111111111116
JR,,,,,,,,,,,,,
JS,0.46527777777777773,0.4444444444444444,0.4583333333333333,0.46527777777777773,0.4444444444444444,0.42361111111111116,,0.4791666666666667,0.47916666666666674,0.4236111111111111,0.47916666666666674,0.4583333333333334,0.4930555555555556
ML,,,,,,,,,,,,,
NL,0.4861111111111111,0.451388888888889,0.5277777777777778,0.48611111111111116,0.4930555555555555,0.47222222222222227,0.5416666666666666,0.4583333333333333,,0.4791666666666667,0.5416666666666666,0.46527777777777773,0.5277777777777778
RK,0.5,0.5069444444444444,0.5694444444444443,0.513888888888889,0.5625000000000001,0.4236111111111111,0.5069444444444445,0.548611111111111,0.5416666666666666,,0.513888888888889,0.5138888888888888,0.513888888888889
SC,0.4947916666666667,0.4635416666666667,0.5104166666666666,0.4947916666666667,0.46875,0.4895833333333333,0.4583333333333333,0.4895833333333333,0.5,0.4895833333333333,,0.46875,0.5
TP,,,,,,,,,,,,,
YY,0.5260416666666666,0.5208333333333334,0.4947916666666667,0.5052083333333334,0.4895833333333333,0.421875,0.5364583333333334,0.5208333333333334,0.6041666666666666,0.5208333333333334,0.5260416666666666,0.4895833333333333,
