,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5277777777777778,0.5347222222222222,0.5208333333333333,0.5972222222222222,0.5277777777777778,0.47222222222222227,0.548611111111111,0.5486111111111112,0.5347222222222222,0.548611111111111,0.5624999999999999,0.5625
CC,0.4947916666666667,,0.515625,0.546875,0.4635416666666667,0.5104166666666666,0.4947916666666667,0.5104166666666666,0.4739583333333333,0.4895833333333333,0.4322916666666667,0.5052083333333334,0.46875
CG,0.5694444444444444,0.5347222222222222,,0.5555555555555556,0.576388888888889,0.45138888888888884,0.625,0.6180555555555556,0.5902777777777778,0.5833333333333334,0.5555555555555556,0.576388888888889,0.5763888888888888
GD,0.5625,0.5833333333333334,0.59375,,0.5520833333333334,0.40625,0.5729166666666666,0.5833333333333334,0.5625,0.6458333333333334,0.46875,0.5625,0.5208333333333334
JM,0.576388888888889,0.5416666666666666,0.5902777777777777,0.5,,0.5347222222222222,0.5416666666666666,0.5833333333333334,0.5694444444444444,0.5347222222222222,0.5555555555555556,0.5972222222222221,0.6180555555555556
JR,0.5347222222222222,0.4444444444444444,0.4583333333333334,0.4513888888888889,0.5,,0.40277777777777773,0.47222222222222227,0.4166666666666667,0.40972222222222227,0.4444444444444445,0.5277777777777778,0.4722222222222223
JS,0.5277777777777778,0.548611111111111,0.6319444444444444,0.5555555555555556,0.576388888888889,0.5,,0.5277777777777778,0.5277777777777778,0.611111111111111,0.5208333333333334,0.5625,0.5069444444444444
ML,0.6458333333333333,0.5555555555555555,0.6180555555555555,0.48611111111111116,0.576388888888889,0.4791666666666667,0.5347222222222222,,0.6388888888888888,0.6041666666666666,0.5902777777777778,0.5972222222222222,0.5972222222222222
NL,0.5989583333333334,0.578125,0.640625,0.5677083333333334,0.6041666666666666,0.4322916666666667,0.640625,0.5729166666666666,,0.59375,0.5729166666666666,0.5677083333333334,0.6510416666666666
RK,0.5277777777777778,0.5069444444444445,0.5902777777777778,0.5277777777777778,0.5277777777777778,0.4375,0.5486111111111113,0.5416666666666666,0.5486111111111112,,0.5347222222222222,0.5208333333333333,0.576388888888889
SC,0.5520833333333334,0.5364583333333334,0.5,0.4947916666666667,0.5208333333333334,0.5104166666666666,0.515625,0.53125,0.5625,0.5260416666666666,,0.5572916666666666,0.5
TP,0.5416666666666666,0.4861111111111111,0.5277777777777778,0.548611111111111,0.5555555555555557,0.47222222222222227,0.5277777777777778,0.5347222222222222,0.5208333333333334,0.5277777777777778,0.5208333333333334,,0.5208333333333333
YY,0.5520833333333334,0.59375,0.5989583333333334,0.5729166666666666,0.59375,0.46875,0.5625,0.5520833333333334,0.5677083333333334,0.59375,0.5208333333333334,0.5260416666666666,
