,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.7578125,0.7395833333333334,0.796875,0.7395833333333333,0.7708333333333333,0.8229166666666667,0.71875,0.7421875,0.6979166666666667,0.734375,0.6874999999999999,0.6640625
CC,0.6979166666666665,,0.6979166666666666,0.78125,0.7083333333333334,0.7291666666666666,0.8333333333333334,0.6979166666666666,0.7421875,0.71875,0.703125,0.65625,0.6640625
CG,0.6666666666666665,0.7109375,,0.78125,0.7187499999999999,0.75,0.84375,0.6875,0.7421875,0.7187500000000001,0.734375,0.6875,0.65625
GD,0.6666666666666666,0.75,0.6979166666666667,,0.7291666666666666,0.75,0.8020833333333334,0.7083333333333334,0.7265625,0.7395833333333334,0.71875,0.6770833333333333,0.6640625
JM,0.6770833333333331,0.7421875,0.7083333333333334,0.78125,,0.78125,0.8229166666666667,0.7083333333333334,0.7265625,0.71875,0.71875,0.6458333333333334,0.6640625
JR,0.6666666666666666,0.7421875,0.7083333333333334,0.78125,0.71875,,0.8125,0.6979166666666666,0.734375,0.7291666666666667,0.71875,0.6666666666666666,0.6640625
JS,0.6562499999999999,0.71875,0.71875,0.796875,0.7187499999999999,0.75,,0.7083333333333334,0.7421875,0.6979166666666667,0.703125,0.65625,0.640625
ML,0.6666666666666665,0.734375,0.7291666666666667,0.765625,0.7083333333333334,0.7500000000000001,0.8020833333333334,,0.7109375,0.71875,0.71875,0.6874999999999999,0.6796875
NL,0.6875,0.734375,0.7083333333333334,0.78125,0.7291666666666666,0.7395833333333334,0.8229166666666667,0.6979166666666666,,0.71875,0.703125,0.6458333333333333,0.65625
RK,0.6562499999999999,0.71875,0.7291666666666666,0.8125,0.7187499999999999,0.7604166666666666,0.8020833333333334,0.71875,0.7265625,,0.7109375,0.6770833333333333,0.6640625
SC,0.65625,0.7421875,0.6979166666666666,0.765625,0.71875,0.7604166666666667,0.8020833333333334,0.7291666666666666,0.7421875,0.7083333333333334,,0.6458333333333333,0.6484375
TP,0.6770833333333333,0.7109375,0.6979166666666667,0.828125,0.7291666666666666,0.7500000000000001,0.8125,0.71875,0.734375,0.7083333333333334,0.7109375,,0.6640625
YY,0.6770833333333333,0.7265625,0.6770833333333334,0.8125,0.6875,0.7604166666666667,0.8020833333333335,0.6875,0.71875,0.7083333333333334,0.71875,0.6562499999999999,
