,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.71875,0.7395833333333334,0.875,0.7395833333333334,0.84375,0.7812500000000001,0.8541666666666667,0.8203125,0.78125,0.71875,0.6666666666666667,0.734375
CC,0.6666666666666666,,0.75,0.84375,0.71875,0.84375,0.75,0.8229166666666666,0.8046875,0.7812499999999999,0.734375,0.6875,0.7109375
CG,0.6979166666666666,0.71875,,0.875,0.7500000000000001,0.84375,0.7291666666666667,0.8541666666666667,0.78125,0.7708333333333333,0.71875,0.6770833333333333,0.7421875
GD,0.7083333333333333,0.7109375,0.7187500000000001,,0.7500000000000001,0.8333333333333334,0.7395833333333333,0.8645833333333333,0.78125,0.7812499999999999,0.71875,0.6874999999999999,0.71875
JM,0.6770833333333333,0.703125,0.75,0.90625,,0.84375,0.7291666666666667,0.8645833333333334,0.7890625,0.7812499999999999,0.7109375,0.6770833333333334,0.765625
JR,0.6666666666666667,0.703125,0.75,0.875,0.7395833333333334,,0.75,0.8437500000000001,0.828125,0.7812499999999999,0.71875,0.6770833333333333,0.75
JS,0.7291666666666667,0.71875,0.7395833333333334,0.921875,0.7500000000000001,0.84375,,0.8541666666666667,0.796875,0.7708333333333333,0.6875,0.6874999999999999,0.734375
ML,0.6875,0.7265625,0.7604166666666667,0.859375,0.78125,0.8229166666666666,0.7395833333333333,,0.78125,0.7916666666666666,0.6875,0.65625,0.75
NL,0.6875,0.71875,0.7604166666666666,0.890625,0.7604166666666667,0.84375,0.75,0.8437500000000001,,0.7604166666666666,0.7109375,0.6770833333333334,0.7265625
RK,0.7083333333333334,0.71875,0.7291666666666667,0.90625,0.7604166666666667,0.8333333333333334,0.7604166666666667,0.8333333333333335,0.796875,,0.703125,0.6562499999999999,0.75
SC,0.6666666666666666,0.6875,0.7291666666666666,0.890625,0.7395833333333334,0.84375,0.7604166666666666,0.8750000000000001,0.7890625,0.7812499999999999,,0.6666666666666666,0.7265625
TP,0.6666666666666666,0.7109375,0.7291666666666666,0.890625,0.7395833333333334,0.84375,0.75,0.78125,0.7734375,0.7916666666666666,0.703125,,0.7421875
YY,0.6875,0.734375,0.75,0.890625,0.7395833333333334,0.84375,0.75,0.84375,0.8046875,0.7812499999999999,0.7109375,0.6770833333333333,
