,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.53125,0.5,0.46875,0.4895833333333333,0.53125,0.46875,0.4791666666666667,0.5104166666666666,0.5208333333333334,0.46875,0.5104166666666666,0.48958333333333337
CC,0.5078125,,0.5625,0.609375,0.5703125,0.46875,0.5625,0.484375,0.5859375,0.5625,0.546875,0.5703125,0.6328125
CG,0.5520833333333335,0.6458333333333334,,0.59375,0.6145833333333334,0.47916666666666663,0.6458333333333334,0.5520833333333334,0.59375,0.59375,0.5625,0.5833333333333334,0.6145833333333334
GD,0.59375,0.796875,0.6875,,0.71875,0.40625,0.71875,0.421875,0.65625,0.65625,0.65625,0.65625,0.703125
JM,0.5937500000000001,0.59375,0.6041666666666667,0.6041666666666666,,0.3958333333333333,0.6458333333333333,0.5208333333333334,0.6041666666666666,0.6041666666666666,0.5520833333333334,0.5520833333333334,0.59375
JR,0.5208333333333334,0.4583333333333333,0.46875,0.41666666666666674,0.42708333333333337,,0.3229166666666667,0.47916666666666663,0.4479166666666667,0.46875000000000006,0.4895833333333333,0.47916666666666663,0.47916666666666663
JS,0.5833333333333334,0.6145833333333333,0.6458333333333333,0.6562499999999999,0.6041666666666666,0.39583333333333337,,0.47916666666666663,0.6145833333333334,0.59375,0.5520833333333333,0.5520833333333334,0.6041666666666666
ML,0.59375,0.53125,0.5520833333333333,0.6041666666666666,0.5729166666666667,0.41666666666666663,0.5937500000000001,,0.59375,0.5416666666666667,0.5937500000000001,0.5416666666666666,0.5208333333333333
NL,0.5703125,0.578125,0.609375,0.6171875,0.6484375,0.3046875,0.65625,0.65625,,0.6171875,0.625,0.609375,0.6015625
RK,0.53125,0.5416666666666666,0.5520833333333334,0.6041666666666667,0.6041666666666667,0.39583333333333337,0.6145833333333333,0.5104166666666666,0.6354166666666666,,0.59375,0.6458333333333333,0.5520833333333334
SC,0.5234375,0.53125,0.515625,0.5,0.484375,0.515625,0.53125,0.5546875,0.5,0.5234375,,0.53125,0.515625
TP,0.53125,0.5625,0.5520833333333333,0.5416666666666667,0.53125,0.4479166666666667,0.5520833333333334,0.46875000000000006,0.5104166666666667,0.5833333333333334,0.53125,,0.53125
YY,0.5546875,0.6171875,0.5859375,0.625,0.578125,0.4609375,0.5625,0.5234375,0.578125,0.5390625,0.59375,0.6015625,
