,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.75,0.75,0.875,0.6666666666666666,0.75,0.6666666666666666,0.75,0.875,0.8333333333333334,0.75,0.5833333333333334,0.625
CC,0.5833333333333334,,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.875,0.9166666666666666,0.75,0.6666666666666666,0.625
CG,0.75,0.6875,,0.875,0.75,0.75,0.6666666666666666,0.75,0.875,0.8333333333333334,0.6875,0.6666666666666666,0.8125
GD,0.6666666666666666,0.6875,0.75,,0.75,0.75,0.6666666666666666,0.75,0.875,0.9166666666666666,0.75,0.6666666666666666,0.625
JM,0.6666666666666666,0.6875,0.75,0.875,,0.75,0.5833333333333334,0.75,0.8125,0.9166666666666666,0.75,0.5833333333333334,0.6875
JR,0.5833333333333334,0.6875,0.75,0.75,0.6666666666666666,,0.6666666666666666,0.8333333333333334,0.9375,0.9166666666666666,0.6875,0.6666666666666666,0.6875
JS,0.6666666666666666,0.6875,0.75,1.0,0.75,0.75,,0.75,0.8125,0.8333333333333334,0.6875,0.6666666666666666,0.625
ML,0.5833333333333334,0.6875,0.75,0.75,0.75,0.75,0.6666666666666666,,0.875,0.8333333333333334,0.625,0.5833333333333334,0.6875
NL,0.5833333333333334,0.6875,0.75,1.0,0.75,0.75,0.75,0.8333333333333334,,0.8333333333333334,0.6875,0.5833333333333334,0.625
RK,0.6666666666666666,0.6875,0.75,1.0,0.75,0.75,0.6666666666666666,0.75,0.8125,,0.6875,0.6666666666666666,0.75
SC,0.5833333333333334,0.6875,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.8125,0.8333333333333334,,0.5833333333333334,0.625
TP,0.6666666666666666,0.625,0.75,0.875,0.6666666666666666,0.75,0.6666666666666666,0.75,0.8125,0.9166666666666666,0.75,,0.6875
YY,0.5833333333333334,0.6875,0.75,0.875,0.75,0.75,0.6666666666666666,0.75,0.875,0.9166666666666666,0.6875,0.5833333333333334,
